,date,location,new_cases,new_deaths,total_cases,total_deaths
6855,2020-03-12,Turkey,1,0,1,0
6856,2020-03-13,Turkey,1,0,2,0
6857,2020-03-16,Turkey,16,0,18,0
6858,2020-03-17,Turkey,29,0,47,0
6859,2020-03-18,Turkey,51,0,98,0
6860,2020-03-19,Turkey,93,1,191,1
6861,2020-03-20,Turkey,168,3,359,4
6862,2020-03-21,Turkey,311,5,670,9
6863,2020-03-22,Turkey,277,12,947,21
6864,2020-03-23,Turkey,289,9,1236,30
6865,2020-03-24,Turkey,293,7,1529,37
6866,2020-03-25,Turkey,343,7,1872,44
6867,2020-03-26,Turkey,561,15,2433,59
6868,2020-03-27,Turkey,1196,16,3629,75
6869,2020-03-28,Turkey,2069,17,5698,92
