,date,location,new_cases,new_deaths,total_cases,total_deaths
6896,2019-12-31,United Arab Emirates,0,0,0,0
6897,2020-01-01,United Arab Emirates,0,0,0,0
6898,2020-01-02,United Arab Emirates,0,0,0,0
6899,2020-01-03,United Arab Emirates,0,0,0,0
6900,2020-01-04,United Arab Emirates,0,0,0,0
6901,2020-01-05,United Arab Emirates,0,0,0,0
6902,2020-01-06,United Arab Emirates,0,0,0,0
6903,2020-01-07,United Arab Emirates,0,0,0,0
6904,2020-01-08,United Arab Emirates,0,0,0,0
6905,2020-01-09,United Arab Emirates,0,0,0,0
6906,2020-01-10,United Arab Emirates,0,0,0,0
6907,2020-01-11,United Arab Emirates,0,0,0,0
6908,2020-01-12,United Arab Emirates,0,0,0,0
6909,2020-01-13,United Arab Emirates,0,0,0,0
6910,2020-01-14,United Arab Emirates,0,0,0,0
6911,2020-01-15,United Arab Emirates,0,0,0,0
6912,2020-01-16,United Arab Emirates,0,0,0,0
6913,2020-01-17,United Arab Emirates,0,0,0,0
6914,2020-01-18,United Arab Emirates,0,0,0,0
6915,2020-01-19,United Arab Emirates,0,0,0,0
6916,2020-01-20,United Arab Emirates,0,0,0,0
6917,2020-01-21,United Arab Emirates,0,0,0,0
6918,2020-01-22,United Arab Emirates,0,0,0,0
6919,2020-01-23,United Arab Emirates,0,0,0,0
6920,2020-01-24,United Arab Emirates,0,0,0,0
6921,2020-01-25,United Arab Emirates,0,0,0,0
6922,2020-01-26,United Arab Emirates,0,0,0,0
6923,2020-01-27,United Arab Emirates,1,0,1,0
6924,2020-01-28,United Arab Emirates,0,0,1,0
6925,2020-01-29,United Arab Emirates,0,0,1,0
6926,2020-01-30,United Arab Emirates,3,0,4,0
6927,2020-01-31,United Arab Emirates,0,0,4,0
6928,2020-02-01,United Arab Emirates,0,0,4,0
6929,2020-02-02,United Arab Emirates,1,0,5,0
6930,2020-02-03,United Arab Emirates,0,0,5,0
6931,2020-02-04,United Arab Emirates,0,0,5,0
6932,2020-02-05,United Arab Emirates,0,0,5,0
6933,2020-02-06,United Arab Emirates,0,0,5,0
6934,2020-02-07,United Arab Emirates,0,0,5,0
6935,2020-02-08,United Arab Emirates,2,0,7,0
6936,2020-02-09,United Arab Emirates,0,0,7,0
6937,2020-02-10,United Arab Emirates,0,0,7,0
6938,2020-02-11,United Arab Emirates,1,0,8,0
6939,2020-02-12,United Arab Emirates,0,0,8,0
6940,2020-02-13,United Arab Emirates,0,0,8,0
6941,2020-02-14,United Arab Emirates,0,0,8,0
6942,2020-02-15,United Arab Emirates,0,0,8,0
6943,2020-02-16,United Arab Emirates,0,0,8,0
6944,2020-02-17,United Arab Emirates,1,0,9,0
6945,2020-02-18,United Arab Emirates,0,0,9,0
6946,2020-02-19,United Arab Emirates,0,0,9,0
6947,2020-02-20,United Arab Emirates,0,0,9,0
6948,2020-02-21,United Arab Emirates,0,0,9,0
6949,2020-02-22,United Arab Emirates,2,0,11,0
6950,2020-02-23,United Arab Emirates,2,0,13,0
6951,2020-02-24,United Arab Emirates,0,0,13,0
6952,2020-02-25,United Arab Emirates,0,0,13,0
6953,2020-02-26,United Arab Emirates,0,0,13,0
6954,2020-02-27,United Arab Emirates,0,0,13,0
6955,2020-02-28,United Arab Emirates,6,0,19,0
6956,2020-02-29,United Arab Emirates,0,0,19,0
6957,2020-03-01,United Arab Emirates,2,0,21,0
6958,2020-03-02,United Arab Emirates,0,0,21,0
6959,2020-03-04,United Arab Emirates,6,0,27,0
6960,2020-03-06,United Arab Emirates,2,0,29,0
6961,2020-03-08,United Arab Emirates,16,0,45,0
6962,2020-03-10,United Arab Emirates,14,0,59,0
6963,2020-03-11,United Arab Emirates,15,0,74,0
6964,2020-03-13,United Arab Emirates,11,0,85,0
6965,2020-03-15,United Arab Emirates,0,0,85,0
6966,2020-03-16,United Arab Emirates,1,0,86,0
6967,2020-03-17,United Arab Emirates,12,0,98,0
6968,2020-03-18,United Arab Emirates,15,0,113,0
6969,2020-03-19,United Arab Emirates,0,0,113,0
6970,2020-03-20,United Arab Emirates,27,0,140,0
6971,2020-03-21,United Arab Emirates,0,0,140,0
6972,2020-03-22,United Arab Emirates,13,2,153,2
6973,2020-03-23,United Arab Emirates,0,0,153,2
6974,2020-03-24,United Arab Emirates,45,0,198,2
6975,2020-03-25,United Arab Emirates,50,0,248,2
6976,2020-03-26,United Arab Emirates,85,0,333,2
6977,2020-03-27,United Arab Emirates,0,0,333,2
6978,2020-03-28,United Arab Emirates,72,0,405,2
