,date,location,new_cases,new_deaths,total_cases,total_deaths
6979,2019-12-31,United Kingdom,0,0,0,0
6980,2020-01-01,United Kingdom,0,0,0,0
6981,2020-01-02,United Kingdom,0,0,0,0
6982,2020-01-03,United Kingdom,0,0,0,0
6983,2020-01-04,United Kingdom,0,0,0,0
6984,2020-01-05,United Kingdom,0,0,0,0
6985,2020-01-06,United Kingdom,0,0,0,0
6986,2020-01-07,United Kingdom,0,0,0,0
6987,2020-01-08,United Kingdom,0,0,0,0
6988,2020-01-09,United Kingdom,0,0,0,0
6989,2020-01-10,United Kingdom,0,0,0,0
6990,2020-01-11,United Kingdom,0,0,0,0
6991,2020-01-12,United Kingdom,0,0,0,0
6992,2020-01-13,United Kingdom,0,0,0,0
6993,2020-01-14,United Kingdom,0,0,0,0
6994,2020-01-15,United Kingdom,0,0,0,0
6995,2020-01-16,United Kingdom,0,0,0,0
6996,2020-01-17,United Kingdom,0,0,0,0
6997,2020-01-18,United Kingdom,0,0,0,0
6998,2020-01-19,United Kingdom,0,0,0,0
6999,2020-01-20,United Kingdom,0,0,0,0
7000,2020-01-21,United Kingdom,0,0,0,0
7001,2020-01-22,United Kingdom,0,0,0,0
7002,2020-01-23,United Kingdom,0,0,0,0
7003,2020-01-24,United Kingdom,0,0,0,0
7004,2020-01-25,United Kingdom,0,0,0,0
7005,2020-01-26,United Kingdom,0,0,0,0
7006,2020-01-27,United Kingdom,0,0,0,0
7007,2020-01-28,United Kingdom,0,0,0,0
7008,2020-01-29,United Kingdom,0,0,0,0
7009,2020-01-30,United Kingdom,0,0,0,0
7010,2020-01-31,United Kingdom,2,0,2,0
7011,2020-02-01,United Kingdom,0,0,2,0
7012,2020-02-02,United Kingdom,0,0,2,0
7013,2020-02-03,United Kingdom,0,0,2,0
7014,2020-02-04,United Kingdom,0,0,2,0
7015,2020-02-05,United Kingdom,0,0,2,0
7016,2020-02-06,United Kingdom,0,0,2,0
7017,2020-02-07,United Kingdom,1,0,3,0
7018,2020-02-08,United Kingdom,0,0,3,0
7019,2020-02-09,United Kingdom,1,0,4,0
7020,2020-02-10,United Kingdom,0,0,4,0
7021,2020-02-11,United Kingdom,4,0,8,0
7022,2020-02-12,United Kingdom,0,0,8,0
7023,2020-02-13,United Kingdom,1,0,9,0
7024,2020-02-14,United Kingdom,0,0,9,0
7025,2020-02-15,United Kingdom,0,0,9,0
7026,2020-02-16,United Kingdom,0,0,9,0
7027,2020-02-17,United Kingdom,0,0,9,0
7028,2020-02-18,United Kingdom,0,0,9,0
7029,2020-02-19,United Kingdom,0,0,9,0
7030,2020-02-20,United Kingdom,0,0,9,0
7031,2020-02-21,United Kingdom,0,0,9,0
7032,2020-02-22,United Kingdom,0,0,9,0
7033,2020-02-23,United Kingdom,0,0,9,0
7034,2020-02-24,United Kingdom,4,0,13,0
7035,2020-02-25,United Kingdom,0,0,13,0
7036,2020-02-26,United Kingdom,0,0,13,0
7037,2020-02-27,United Kingdom,0,0,13,0
7038,2020-02-28,United Kingdom,3,0,16,0
7039,2020-02-29,United Kingdom,2,0,18,0
7040,2020-03-01,United Kingdom,5,0,23,0
7041,2020-03-02,United Kingdom,13,0,36,0
7042,2020-03-03,United Kingdom,4,0,40,0
7043,2020-03-04,United Kingdom,11,0,51,0
7044,2020-03-05,United Kingdom,34,0,85,0
7045,2020-03-06,United Kingdom,30,1,115,1
7046,2020-03-07,United Kingdom,48,0,163,1
7047,2020-03-08,United Kingdom,43,1,206,2
7048,2020-03-09,United Kingdom,67,1,273,3
7049,2020-03-10,United Kingdom,48,2,321,5
7050,2020-03-11,United Kingdom,52,1,373,6
7051,2020-03-12,United Kingdom,83,0,456,6
7052,2020-03-13,United Kingdom,134,4,590,10
7053,2020-03-14,United Kingdom,117,0,707,10
7054,2020-03-15,United Kingdom,433,11,1140,21
7055,2020-03-16,United Kingdom,251,14,1391,35
7056,2020-03-17,United Kingdom,152,20,1543,55
7057,2020-03-18,United Kingdom,407,5,1950,60
7058,2020-03-19,United Kingdom,680,43,2630,103
7059,2020-03-20,United Kingdom,647,41,3277,144
7060,2020-03-21,United Kingdom,706,33,3983,177
7061,2020-03-22,United Kingdom,1035,56,5018,233
7062,2020-03-23,United Kingdom,665,48,5683,281
7063,2020-03-24,United Kingdom,967,54,6650,335
7064,2020-03-25,United Kingdom,1427,87,8077,422
7065,2020-03-26,United Kingdom,1452,41,9529,463
7066,2020-03-27,United Kingdom,2129,115,11658,578
7067,2020-03-28,United Kingdom,2885,181,14543,759
