,date,location,new_cases,new_deaths,total_cases,total_deaths
7176,2020-03-16,Uzbekistan,6,0,6,0
7177,2020-03-17,Uzbekistan,2,0,8,0
7178,2020-03-18,Uzbekistan,8,0,16,0
7179,2020-03-19,Uzbekistan,7,0,23,0
7180,2020-03-20,Uzbekistan,0,0,23,0
7181,2020-03-21,Uzbekistan,10,0,33,0
7182,2020-03-22,Uzbekistan,0,0,33,0
7183,2020-03-23,Uzbekistan,13,0,46,0
7184,2020-03-24,Uzbekistan,3,0,49,0
7185,2020-03-25,Uzbekistan,6,0,55,0
7186,2020-03-26,Uzbekistan,10,0,65,0
7187,2020-03-27,Uzbekistan,18,0,83,0
7188,2020-03-28,Uzbekistan,21,0,104,0
