,date,location,new_cases,new_deaths,total_cases,total_deaths
7203,2020-03-15,Venezuela,10,0,10,0
7204,2020-03-16,Venezuela,5,0,15,0
7205,2020-03-17,Venezuela,18,0,33,0
7206,2020-03-18,Venezuela,0,0,33,0
7207,2020-03-19,Venezuela,0,0,33,0
7208,2020-03-20,Venezuela,0,0,33,0
7209,2020-03-21,Venezuela,3,0,36,0
7210,2020-03-22,Venezuela,0,0,36,0
7211,2020-03-23,Venezuela,0,0,36,0
7212,2020-03-24,Venezuela,48,0,84,0
7213,2020-03-25,Venezuela,7,0,91,0
7214,2020-03-26,Venezuela,15,0,106,0
7215,2020-03-27,Venezuela,1,1,107,1
7216,2020-03-28,Venezuela,12,0,119,1
