,date,location,new_cases,new_deaths,total_cases,total_deaths
7217,2019-12-31,Vietnam,0,0,0,0
7218,2020-01-01,Vietnam,0,0,0,0
7219,2020-01-02,Vietnam,0,0,0,0
7220,2020-01-03,Vietnam,0,0,0,0
7221,2020-01-04,Vietnam,0,0,0,0
7222,2020-01-05,Vietnam,0,0,0,0
7223,2020-01-06,Vietnam,0,0,0,0
7224,2020-01-07,Vietnam,0,0,0,0
7225,2020-01-08,Vietnam,0,0,0,0
7226,2020-01-09,Vietnam,0,0,0,0
7227,2020-01-10,Vietnam,0,0,0,0
7228,2020-01-11,Vietnam,0,0,0,0
7229,2020-01-12,Vietnam,0,0,0,0
7230,2020-01-13,Vietnam,0,0,0,0
7231,2020-01-14,Vietnam,0,0,0,0
7232,2020-01-15,Vietnam,0,0,0,0
7233,2020-01-16,Vietnam,0,0,0,0
7234,2020-01-17,Vietnam,0,0,0,0
7235,2020-01-18,Vietnam,0,0,0,0
7236,2020-01-19,Vietnam,0,0,0,0
7237,2020-01-20,Vietnam,0,0,0,0
7238,2020-01-21,Vietnam,0,0,0,0
7239,2020-01-22,Vietnam,0,0,0,0
7240,2020-01-23,Vietnam,0,0,0,0
7241,2020-01-24,Vietnam,2,0,2,0
7242,2020-01-25,Vietnam,0,0,2,0
7243,2020-01-26,Vietnam,0,0,2,0
7244,2020-01-27,Vietnam,0,0,2,0
7245,2020-01-28,Vietnam,0,0,2,0
7246,2020-01-29,Vietnam,0,0,2,0
7247,2020-01-30,Vietnam,0,0,2,0
7248,2020-01-31,Vietnam,3,0,5,0
7249,2020-02-01,Vietnam,0,0,5,0
7250,2020-02-02,Vietnam,2,0,7,0
7251,2020-02-03,Vietnam,1,0,8,0
7252,2020-02-04,Vietnam,1,0,9,0
7253,2020-02-05,Vietnam,1,0,10,0
7254,2020-02-06,Vietnam,0,0,10,0
7255,2020-02-07,Vietnam,2,0,12,0
7256,2020-02-08,Vietnam,1,0,13,0
7257,2020-02-09,Vietnam,1,0,14,0
7258,2020-02-10,Vietnam,0,0,14,0
7259,2020-02-11,Vietnam,1,0,15,0
7260,2020-02-12,Vietnam,0,0,15,0
7261,2020-02-13,Vietnam,1,0,16,0
7262,2020-02-14,Vietnam,0,0,16,0
7263,2020-02-15,Vietnam,0,0,16,0
7264,2020-02-16,Vietnam,0,0,16,0
7265,2020-02-17,Vietnam,0,0,16,0
7266,2020-02-18,Vietnam,0,0,16,0
7267,2020-02-19,Vietnam,0,0,16,0
7268,2020-02-20,Vietnam,0,0,16,0
7269,2020-02-21,Vietnam,0,0,16,0
7270,2020-02-22,Vietnam,0,0,16,0
7271,2020-02-23,Vietnam,0,0,16,0
7272,2020-02-24,Vietnam,0,0,16,0
7273,2020-02-25,Vietnam,0,0,16,0
7274,2020-02-26,Vietnam,0,0,16,0
7275,2020-02-27,Vietnam,0,0,16,0
7276,2020-02-28,Vietnam,0,0,16,0
7277,2020-02-29,Vietnam,0,0,16,0
7278,2020-03-01,Vietnam,0,0,16,0
7279,2020-03-02,Vietnam,0,0,16,0
7280,2020-03-07,Vietnam,1,0,17,0
7281,2020-03-08,Vietnam,4,0,21,0
7282,2020-03-09,Vietnam,9,0,30,0
7283,2020-03-10,Vietnam,1,0,31,0
7284,2020-03-11,Vietnam,4,0,35,0
7285,2020-03-12,Vietnam,4,0,39,0
7286,2020-03-13,Vietnam,5,0,44,0
7287,2020-03-14,Vietnam,5,0,49,0
7288,2020-03-15,Vietnam,4,0,53,0
7289,2020-03-16,Vietnam,4,0,57,0
7290,2020-03-17,Vietnam,4,0,61,0
7291,2020-03-18,Vietnam,0,0,61,0
7292,2020-03-19,Vietnam,15,0,76,0
7293,2020-03-20,Vietnam,9,0,85,0
7294,2020-03-21,Vietnam,2,0,87,0
7295,2020-03-22,Vietnam,7,0,94,0
7296,2020-03-23,Vietnam,24,0,118,0
7297,2020-03-24,Vietnam,5,0,123,0
7298,2020-03-25,Vietnam,11,0,134,0
7299,2020-03-26,Vietnam,14,0,148,0
7300,2020-03-27,Vietnam,5,0,153,0
7301,2020-03-28,Vietnam,16,0,169,0
