,date,location,new_cases,new_deaths,total_cases,total_deaths
79,2020-03-09,Albania,2,0,2,0
80,2020-03-10,Albania,4,0,6,0
81,2020-03-11,Albania,4,0,10,0
82,2020-03-12,Albania,1,1,11,1
83,2020-03-13,Albania,12,0,23,1
84,2020-03-14,Albania,10,0,33,1
85,2020-03-15,Albania,5,0,38,1
86,2020-03-16,Albania,4,0,42,1
87,2020-03-17,Albania,9,0,51,1
88,2020-03-18,Albania,4,0,55,1
89,2020-03-19,Albania,4,1,59,2
90,2020-03-20,Albania,11,0,70,2
91,2020-03-21,Albania,0,0,70,2
92,2020-03-22,Albania,6,0,76,2
93,2020-03-23,Albania,13,0,89,2
94,2020-03-24,Albania,11,2,100,4
95,2020-03-25,Albania,23,1,123,5
96,2020-03-26,Albania,23,0,146,5
97,2020-03-27,Albania,28,1,174,6
98,2020-03-28,Albania,12,3,186,9
