,date,location,new_cases,new_deaths,total_cases,total_deaths
99,2019-12-31,Algeria,0,0,0,0
100,2020-01-01,Algeria,0,0,0,0
101,2020-01-02,Algeria,0,0,0,0
102,2020-01-03,Algeria,0,0,0,0
103,2020-01-04,Algeria,0,0,0,0
104,2020-01-05,Algeria,0,0,0,0
105,2020-01-06,Algeria,0,0,0,0
106,2020-01-07,Algeria,0,0,0,0
107,2020-01-08,Algeria,0,0,0,0
108,2020-01-09,Algeria,0,0,0,0
109,2020-01-10,Algeria,0,0,0,0
110,2020-01-11,Algeria,0,0,0,0
111,2020-01-12,Algeria,0,0,0,0
112,2020-01-13,Algeria,0,0,0,0
113,2020-01-14,Algeria,0,0,0,0
114,2020-01-15,Algeria,0,0,0,0
115,2020-01-16,Algeria,0,0,0,0
116,2020-01-17,Algeria,0,0,0,0
117,2020-01-18,Algeria,0,0,0,0
118,2020-01-19,Algeria,0,0,0,0
119,2020-01-20,Algeria,0,0,0,0
120,2020-01-21,Algeria,0,0,0,0
121,2020-01-22,Algeria,0,0,0,0
122,2020-01-23,Algeria,0,0,0,0
123,2020-01-24,Algeria,0,0,0,0
124,2020-01-25,Algeria,0,0,0,0
125,2020-01-26,Algeria,0,0,0,0
126,2020-01-27,Algeria,0,0,0,0
127,2020-01-28,Algeria,0,0,0,0
128,2020-01-29,Algeria,0,0,0,0
129,2020-01-30,Algeria,0,0,0,0
130,2020-01-31,Algeria,0,0,0,0
131,2020-02-01,Algeria,0,0,0,0
132,2020-02-02,Algeria,0,0,0,0
133,2020-02-03,Algeria,0,0,0,0
134,2020-02-04,Algeria,0,0,0,0
135,2020-02-05,Algeria,0,0,0,0
136,2020-02-06,Algeria,0,0,0,0
137,2020-02-07,Algeria,0,0,0,0
138,2020-02-08,Algeria,0,0,0,0
139,2020-02-09,Algeria,0,0,0,0
140,2020-02-10,Algeria,0,0,0,0
141,2020-02-11,Algeria,0,0,0,0
142,2020-02-12,Algeria,0,0,0,0
143,2020-02-13,Algeria,0,0,0,0
144,2020-02-14,Algeria,0,0,0,0
145,2020-02-15,Algeria,0,0,0,0
146,2020-02-16,Algeria,0,0,0,0
147,2020-02-17,Algeria,0,0,0,0
148,2020-02-18,Algeria,0,0,0,0
149,2020-02-19,Algeria,0,0,0,0
150,2020-02-20,Algeria,0,0,0,0
151,2020-02-21,Algeria,0,0,0,0
152,2020-02-22,Algeria,0,0,0,0
153,2020-02-23,Algeria,0,0,0,0
154,2020-02-24,Algeria,0,0,0,0
155,2020-02-25,Algeria,0,0,0,0
156,2020-02-26,Algeria,1,0,1,0
157,2020-02-27,Algeria,0,0,1,0
158,2020-02-28,Algeria,0,0,1,0
159,2020-02-29,Algeria,0,0,1,0
160,2020-03-01,Algeria,0,0,1,0
161,2020-03-02,Algeria,2,0,3,0
162,2020-03-04,Algeria,2,0,5,0
163,2020-03-05,Algeria,7,0,12,0
164,2020-03-06,Algeria,5,0,17,0
165,2020-03-09,Algeria,3,0,20,0
166,2020-03-12,Algeria,0,0,20,0
167,2020-03-13,Algeria,4,1,24,1
168,2020-03-14,Algeria,2,1,26,2
169,2020-03-15,Algeria,11,0,37,2
170,2020-03-16,Algeria,11,2,48,4
171,2020-03-17,Algeria,12,0,60,4
172,2020-03-18,Algeria,0,1,60,5
173,2020-03-19,Algeria,13,1,73,6
174,2020-03-20,Algeria,9,1,82,7
175,2020-03-21,Algeria,12,3,94,10
176,2020-03-22,Algeria,0,0,94,10
177,2020-03-23,Algeria,8,5,102,15
178,2020-03-24,Algeria,87,2,189,17
179,2020-03-25,Algeria,42,0,231,17
180,2020-03-26,Algeria,33,0,264,17
181,2020-03-27,Algeria,41,4,305,21
182,2020-03-28,Algeria,0,0,305,21
