,date,location,new_cases,new_deaths,total_cases,total_deaths
238,2019-12-31,Armenia,0,0,0,0
239,2020-01-01,Armenia,0,0,0,0
240,2020-01-02,Armenia,0,0,0,0
241,2020-01-03,Armenia,0,0,0,0
242,2020-01-04,Armenia,0,0,0,0
243,2020-01-05,Armenia,0,0,0,0
244,2020-01-06,Armenia,0,0,0,0
245,2020-01-07,Armenia,0,0,0,0
246,2020-01-08,Armenia,0,0,0,0
247,2020-01-09,Armenia,0,0,0,0
248,2020-01-10,Armenia,0,0,0,0
249,2020-01-11,Armenia,0,0,0,0
250,2020-01-12,Armenia,0,0,0,0
251,2020-01-13,Armenia,0,0,0,0
252,2020-01-14,Armenia,0,0,0,0
253,2020-01-15,Armenia,0,0,0,0
254,2020-01-16,Armenia,0,0,0,0
255,2020-01-17,Armenia,0,0,0,0
256,2020-01-18,Armenia,0,0,0,0
257,2020-01-19,Armenia,0,0,0,0
258,2020-01-20,Armenia,0,0,0,0
259,2020-01-21,Armenia,0,0,0,0
260,2020-01-22,Armenia,0,0,0,0
261,2020-01-23,Armenia,0,0,0,0
262,2020-01-24,Armenia,0,0,0,0
263,2020-01-25,Armenia,0,0,0,0
264,2020-01-26,Armenia,0,0,0,0
265,2020-01-27,Armenia,0,0,0,0
266,2020-01-28,Armenia,0,0,0,0
267,2020-01-29,Armenia,0,0,0,0
268,2020-01-30,Armenia,0,0,0,0
269,2020-01-31,Armenia,0,0,0,0
270,2020-02-01,Armenia,0,0,0,0
271,2020-02-02,Armenia,0,0,0,0
272,2020-02-03,Armenia,0,0,0,0
273,2020-02-04,Armenia,0,0,0,0
274,2020-02-05,Armenia,0,0,0,0
275,2020-02-06,Armenia,0,0,0,0
276,2020-02-07,Armenia,0,0,0,0
277,2020-02-08,Armenia,0,0,0,0
278,2020-02-09,Armenia,0,0,0,0
279,2020-02-10,Armenia,0,0,0,0
280,2020-02-11,Armenia,0,0,0,0
281,2020-02-12,Armenia,0,0,0,0
282,2020-02-13,Armenia,0,0,0,0
283,2020-02-14,Armenia,0,0,0,0
284,2020-02-15,Armenia,0,0,0,0
285,2020-02-16,Armenia,0,0,0,0
286,2020-02-17,Armenia,0,0,0,0
287,2020-02-18,Armenia,0,0,0,0
288,2020-02-19,Armenia,0,0,0,0
289,2020-02-20,Armenia,0,0,0,0
290,2020-02-21,Armenia,0,0,0,0
291,2020-02-22,Armenia,0,0,0,0
292,2020-02-23,Armenia,0,0,0,0
293,2020-02-24,Armenia,0,0,0,0
294,2020-02-25,Armenia,0,0,0,0
295,2020-02-26,Armenia,0,0,0,0
296,2020-02-27,Armenia,0,0,0,0
297,2020-02-28,Armenia,0,0,0,0
298,2020-02-29,Armenia,0,0,0,0
299,2020-03-01,Armenia,1,0,1,0
300,2020-03-02,Armenia,0,0,1,0
301,2020-03-12,Armenia,3,0,4,0
302,2020-03-13,Armenia,2,0,6,0
303,2020-03-14,Armenia,7,0,13,0
304,2020-03-15,Armenia,7,0,20,0
305,2020-03-16,Armenia,10,0,30,0
306,2020-03-17,Armenia,22,0,52,0
307,2020-03-18,Armenia,26,0,78,0
308,2020-03-19,Armenia,37,0,115,0
309,2020-03-20,Armenia,7,0,122,0
310,2020-03-21,Armenia,14,0,136,0
311,2020-03-22,Armenia,24,0,160,0
312,2020-03-23,Armenia,30,0,190,0
313,2020-03-24,Armenia,4,0,194,0
314,2020-03-25,Armenia,71,0,265,0
315,2020-03-26,Armenia,25,0,290,0
316,2020-03-27,Armenia,39,1,329,1
317,2020-03-28,Armenia,43,0,372,1
