,date,location,new_cases,new_deaths,total_cases,total_deaths
414,2019-12-31,Austria,0,0,0,0
415,2020-01-01,Austria,0,0,0,0
416,2020-01-02,Austria,0,0,0,0
417,2020-01-03,Austria,0,0,0,0
418,2020-01-04,Austria,0,0,0,0
419,2020-01-05,Austria,0,0,0,0
420,2020-01-06,Austria,0,0,0,0
421,2020-01-07,Austria,0,0,0,0
422,2020-01-08,Austria,0,0,0,0
423,2020-01-09,Austria,0,0,0,0
424,2020-01-10,Austria,0,0,0,0
425,2020-01-11,Austria,0,0,0,0
426,2020-01-12,Austria,0,0,0,0
427,2020-01-13,Austria,0,0,0,0
428,2020-01-14,Austria,0,0,0,0
429,2020-01-15,Austria,0,0,0,0
430,2020-01-16,Austria,0,0,0,0
431,2020-01-17,Austria,0,0,0,0
432,2020-01-18,Austria,0,0,0,0
433,2020-01-19,Austria,0,0,0,0
434,2020-01-20,Austria,0,0,0,0
435,2020-01-21,Austria,0,0,0,0
436,2020-01-22,Austria,0,0,0,0
437,2020-01-23,Austria,0,0,0,0
438,2020-01-24,Austria,0,0,0,0
439,2020-01-25,Austria,0,0,0,0
440,2020-01-26,Austria,0,0,0,0
441,2020-01-27,Austria,0,0,0,0
442,2020-01-28,Austria,0,0,0,0
443,2020-01-29,Austria,0,0,0,0
444,2020-01-30,Austria,0,0,0,0
445,2020-01-31,Austria,0,0,0,0
446,2020-02-01,Austria,0,0,0,0
447,2020-02-02,Austria,0,0,0,0
448,2020-02-03,Austria,0,0,0,0
449,2020-02-04,Austria,0,0,0,0
450,2020-02-05,Austria,0,0,0,0
451,2020-02-06,Austria,0,0,0,0
452,2020-02-07,Austria,0,0,0,0
453,2020-02-08,Austria,0,0,0,0
454,2020-02-09,Austria,0,0,0,0
455,2020-02-10,Austria,0,0,0,0
456,2020-02-11,Austria,0,0,0,0
457,2020-02-12,Austria,0,0,0,0
458,2020-02-13,Austria,0,0,0,0
459,2020-02-14,Austria,0,0,0,0
460,2020-02-15,Austria,0,0,0,0
461,2020-02-16,Austria,0,0,0,0
462,2020-02-17,Austria,0,0,0,0
463,2020-02-18,Austria,0,0,0,0
464,2020-02-19,Austria,0,0,0,0
465,2020-02-20,Austria,0,0,0,0
466,2020-02-21,Austria,0,0,0,0
467,2020-02-22,Austria,0,0,0,0
468,2020-02-23,Austria,0,0,0,0
469,2020-02-24,Austria,0,0,0,0
470,2020-02-25,Austria,0,0,0,0
471,2020-02-26,Austria,2,0,2,0
472,2020-02-27,Austria,0,0,2,0
473,2020-02-28,Austria,3,0,5,0
474,2020-02-29,Austria,2,0,7,0
475,2020-03-01,Austria,3,0,10,0
476,2020-03-02,Austria,4,0,14,0
477,2020-03-03,Austria,4,0,18,0
478,2020-03-04,Austria,6,0,24,0
479,2020-03-05,Austria,5,0,29,0
480,2020-03-06,Austria,12,0,41,0
481,2020-03-07,Austria,33,0,74,0
482,2020-03-08,Austria,25,0,99,0
483,2020-03-09,Austria,3,0,102,0
484,2020-03-10,Austria,29,0,131,0
485,2020-03-11,Austria,51,0,182,0
486,2020-03-12,Austria,64,0,246,0
487,2020-03-13,Austria,115,1,361,1
488,2020-03-14,Austria,143,0,504,1
489,2020-03-15,Austria,151,0,655,1
490,2020-03-16,Austria,205,0,860,1
491,2020-03-17,Austria,156,2,1016,3
492,2020-03-18,Austria,316,0,1332,3
493,2020-03-19,Austria,314,1,1646,4
494,2020-03-20,Austria,550,2,2196,6
495,2020-03-21,Austria,453,0,2649,6
496,2020-03-22,Austria,375,2,3024,8
497,2020-03-23,Austria,607,8,3631,16
498,2020-03-24,Austria,855,9,4486,25
499,2020-03-25,Austria,796,5,5282,30
500,2020-03-26,Austria,606,4,5888,34
501,2020-03-27,Austria,1141,18,7029,52
502,2020-03-28,Austria,668,16,7697,68
