,date,location,new_cases,new_deaths,total_cases,total_deaths
790,2019-12-31,Belgium,0,0,0,0
791,2020-01-01,Belgium,0,0,0,0
792,2020-01-02,Belgium,0,0,0,0
793,2020-01-03,Belgium,0,0,0,0
794,2020-01-04,Belgium,0,0,0,0
795,2020-01-05,Belgium,0,0,0,0
796,2020-01-06,Belgium,0,0,0,0
797,2020-01-07,Belgium,0,0,0,0
798,2020-01-08,Belgium,0,0,0,0
799,2020-01-09,Belgium,0,0,0,0
800,2020-01-10,Belgium,0,0,0,0
801,2020-01-11,Belgium,0,0,0,0
802,2020-01-12,Belgium,0,0,0,0
803,2020-01-13,Belgium,0,0,0,0
804,2020-01-14,Belgium,0,0,0,0
805,2020-01-15,Belgium,0,0,0,0
806,2020-01-16,Belgium,0,0,0,0
807,2020-01-17,Belgium,0,0,0,0
808,2020-01-18,Belgium,0,0,0,0
809,2020-01-19,Belgium,0,0,0,0
810,2020-01-20,Belgium,0,0,0,0
811,2020-01-21,Belgium,0,0,0,0
812,2020-01-22,Belgium,0,0,0,0
813,2020-01-23,Belgium,0,0,0,0
814,2020-01-24,Belgium,0,0,0,0
815,2020-01-25,Belgium,0,0,0,0
816,2020-01-26,Belgium,0,0,0,0
817,2020-01-27,Belgium,0,0,0,0
818,2020-01-28,Belgium,0,0,0,0
819,2020-01-29,Belgium,0,0,0,0
820,2020-01-30,Belgium,0,0,0,0
821,2020-01-31,Belgium,0,0,0,0
822,2020-02-01,Belgium,0,0,0,0
823,2020-02-02,Belgium,0,0,0,0
824,2020-02-03,Belgium,0,0,0,0
825,2020-02-04,Belgium,1,0,1,0
826,2020-02-05,Belgium,0,0,1,0
827,2020-02-06,Belgium,0,0,1,0
828,2020-02-07,Belgium,0,0,1,0
829,2020-02-08,Belgium,0,0,1,0
830,2020-02-09,Belgium,0,0,1,0
831,2020-02-10,Belgium,0,0,1,0
832,2020-02-11,Belgium,0,0,1,0
833,2020-02-12,Belgium,0,0,1,0
834,2020-02-13,Belgium,0,0,1,0
835,2020-02-14,Belgium,0,0,1,0
836,2020-02-15,Belgium,0,0,1,0
837,2020-02-16,Belgium,0,0,1,0
838,2020-02-17,Belgium,0,0,1,0
839,2020-02-18,Belgium,0,0,1,0
840,2020-02-19,Belgium,0,0,1,0
841,2020-02-20,Belgium,0,0,1,0
842,2020-02-21,Belgium,0,0,1,0
843,2020-02-22,Belgium,0,0,1,0
844,2020-02-23,Belgium,0,0,1,0
845,2020-02-24,Belgium,0,0,1,0
846,2020-02-25,Belgium,0,0,1,0
847,2020-02-26,Belgium,0,0,1,0
848,2020-02-27,Belgium,0,0,1,0
849,2020-02-28,Belgium,0,0,1,0
850,2020-02-29,Belgium,0,0,1,0
851,2020-03-01,Belgium,0,0,1,0
852,2020-03-02,Belgium,1,0,2,0
853,2020-03-03,Belgium,6,0,8,0
854,2020-03-04,Belgium,5,0,13,0
855,2020-03-05,Belgium,10,0,23,0
856,2020-03-06,Belgium,27,0,50,0
857,2020-03-07,Belgium,59,0,109,0
858,2020-03-08,Belgium,60,0,169,0
859,2020-03-09,Belgium,31,0,200,0
860,2020-03-10,Belgium,39,0,239,0
861,2020-03-11,Belgium,28,0,267,0
862,2020-03-12,Belgium,47,3,314,3
863,2020-03-13,Belgium,85,0,399,3
864,2020-03-14,Belgium,160,0,559,3
865,2020-03-15,Belgium,130,1,689,4
866,2020-03-16,Belgium,197,0,886,4
867,2020-03-17,Belgium,199,1,1085,5
868,2020-03-18,Belgium,158,0,1243,5
869,2020-03-19,Belgium,243,9,1486,14
870,2020-03-20,Belgium,309,7,1795,21
871,2020-03-21,Belgium,462,16,2257,37
872,2020-03-22,Belgium,558,30,2815,67
873,2020-03-23,Belgium,586,8,3401,75
874,2020-03-24,Belgium,342,13,3743,88
875,2020-03-25,Belgium,526,34,4269,122
876,2020-03-26,Belgium,668,56,4937,178
877,2020-03-27,Belgium,1298,42,6235,220
878,2020-03-28,Belgium,1049,69,7284,289
