,date,location,new_cases,new_deaths,total_cases,total_deaths
920,2020-03-12,Bolivia,2,0,2,0
921,2020-03-13,Bolivia,1,0,3,0
922,2020-03-14,Bolivia,7,0,10,0
923,2020-03-15,Bolivia,0,0,10,0
924,2020-03-17,Bolivia,1,0,11,0
925,2020-03-18,Bolivia,1,0,12,0
926,2020-03-19,Bolivia,0,0,12,0
927,2020-03-20,Bolivia,3,0,15,0
928,2020-03-21,Bolivia,4,0,19,0
929,2020-03-22,Bolivia,1,0,20,0
930,2020-03-23,Bolivia,7,0,27,0
931,2020-03-24,Bolivia,1,0,28,0
932,2020-03-25,Bolivia,4,0,32,0
933,2020-03-26,Bolivia,7,0,39,0
934,2020-03-27,Bolivia,22,0,61,0
935,2020-03-28,Bolivia,13,0,74,0
