,date,location,new_cases,new_deaths,total_cases,total_deaths
1058,2020-03-08,Bulgaria,2,0,2,0
1059,2020-03-09,Bulgaria,2,0,4,0
1060,2020-03-12,Bulgaria,3,1,7,1
1061,2020-03-13,Bulgaria,16,0,23,1
1062,2020-03-14,Bulgaria,8,0,31,1
1063,2020-03-15,Bulgaria,10,1,41,2
1064,2020-03-16,Bulgaria,10,0,51,2
1065,2020-03-17,Bulgaria,11,0,62,2
1066,2020-03-18,Bulgaria,19,0,81,2
1067,2020-03-19,Bulgaria,11,0,92,2
1068,2020-03-20,Bulgaria,13,1,105,3
1069,2020-03-21,Bulgaria,22,0,127,3
1070,2020-03-22,Bulgaria,36,0,163,3
1071,2020-03-23,Bulgaria,22,0,185,3
1072,2020-03-24,Bulgaria,16,0,201,3
1073,2020-03-25,Bulgaria,19,0,220,3
1074,2020-03-26,Bulgaria,22,0,242,3
1075,2020-03-27,Bulgaria,22,0,264,3
1076,2020-03-28,Bulgaria,29,0,293,3
