,date,location,new_cases,new_deaths,total_cases,total_deaths
1173,2020-03-07,Cameroon,1,0,1,0
1174,2020-03-09,Cameroon,1,0,2,0
1175,2020-03-15,Cameroon,1,0,3,0
1176,2020-03-16,Cameroon,1,0,4,0
1177,2020-03-17,Cameroon,0,0,4,0
1178,2020-03-18,Cameroon,6,0,10,0
1179,2020-03-19,Cameroon,0,0,10,0
1180,2020-03-20,Cameroon,4,0,14,0
1181,2020-03-21,Cameroon,13,0,27,0
1182,2020-03-22,Cameroon,0,0,27,0
1183,2020-03-23,Cameroon,0,0,27,0
1184,2020-03-24,Cameroon,29,0,56,0
1185,2020-03-25,Cameroon,16,1,72,1
1186,2020-03-26,Cameroon,0,0,72,1
1187,2020-03-27,Cameroon,16,0,88,1
1188,2020-03-28,Cameroon,0,0,88,1
