,date,location,new_cases,new_deaths,total_cases,total_deaths
1295,2020-03-16,Central African Republic,1,0,1,0
1296,2020-03-17,Central African Republic,0,0,1,0
1297,2020-03-18,Central African Republic,0,0,1,0
1298,2020-03-19,Central African Republic,0,0,1,0
1299,2020-03-20,Central African Republic,0,0,1,0
1300,2020-03-21,Central African Republic,0,0,1,0
1301,2020-03-22,Central African Republic,2,0,3,0
1302,2020-03-23,Central African Republic,1,0,4,0
1303,2020-03-24,Central African Republic,0,0,4,0
1304,2020-03-25,Central African Republic,0,0,4,0
1305,2020-03-26,Central African Republic,0,0,4,0
1306,2020-03-27,Central African Republic,1,0,5,0
1307,2020-03-28,Central African Republic,0,0,5,0
