,date,location,new_cases,new_deaths,total_cases,total_deaths
1482,2020-03-12,Cote d'Ivoire,1,0,1,0
1483,2020-03-15,Cote d'Ivoire,3,0,4,0
1484,2020-03-16,Cote d'Ivoire,0,0,4,0
1485,2020-03-17,Cote d'Ivoire,1,0,5,0
1486,2020-03-18,Cote d'Ivoire,0,0,5,0
1487,2020-03-19,Cote d'Ivoire,1,0,6,0
1488,2020-03-20,Cote d'Ivoire,3,0,9,0
1489,2020-03-21,Cote d'Ivoire,5,0,14,0
1490,2020-03-22,Cote d'Ivoire,3,0,17,0
1491,2020-03-23,Cote d'Ivoire,8,0,25,0
1492,2020-03-24,Cote d'Ivoire,0,0,25,0
1493,2020-03-25,Cote d'Ivoire,48,0,73,0
1494,2020-03-26,Cote d'Ivoire,7,0,80,0
1495,2020-03-27,Cote d'Ivoire,16,0,96,0
1496,2020-03-28,Cote d'Ivoire,5,0,101,0
