,date,location,new_cases,new_deaths,total_cases,total_deaths
1497,2019-12-31,Croatia,0,0,0,0
1498,2020-01-01,Croatia,0,0,0,0
1499,2020-01-02,Croatia,0,0,0,0
1500,2020-01-03,Croatia,0,0,0,0
1501,2020-01-04,Croatia,0,0,0,0
1502,2020-01-05,Croatia,0,0,0,0
1503,2020-01-06,Croatia,0,0,0,0
1504,2020-01-07,Croatia,0,0,0,0
1505,2020-01-08,Croatia,0,0,0,0
1506,2020-01-09,Croatia,0,0,0,0
1507,2020-01-10,Croatia,0,0,0,0
1508,2020-01-11,Croatia,0,0,0,0
1509,2020-01-12,Croatia,0,0,0,0
1510,2020-01-13,Croatia,0,0,0,0
1511,2020-01-14,Croatia,0,0,0,0
1512,2020-01-15,Croatia,0,0,0,0
1513,2020-01-16,Croatia,0,0,0,0
1514,2020-01-17,Croatia,0,0,0,0
1515,2020-01-18,Croatia,0,0,0,0
1516,2020-01-19,Croatia,0,0,0,0
1517,2020-01-20,Croatia,0,0,0,0
1518,2020-01-21,Croatia,0,0,0,0
1519,2020-01-22,Croatia,0,0,0,0
1520,2020-01-23,Croatia,0,0,0,0
1521,2020-01-24,Croatia,0,0,0,0
1522,2020-01-25,Croatia,0,0,0,0
1523,2020-01-26,Croatia,0,0,0,0
1524,2020-01-27,Croatia,0,0,0,0
1525,2020-01-28,Croatia,0,0,0,0
1526,2020-01-29,Croatia,0,0,0,0
1527,2020-01-30,Croatia,0,0,0,0
1528,2020-01-31,Croatia,0,0,0,0
1529,2020-02-01,Croatia,0,0,0,0
1530,2020-02-02,Croatia,0,0,0,0
1531,2020-02-03,Croatia,0,0,0,0
1532,2020-02-04,Croatia,0,0,0,0
1533,2020-02-05,Croatia,0,0,0,0
1534,2020-02-06,Croatia,0,0,0,0
1535,2020-02-07,Croatia,0,0,0,0
1536,2020-02-08,Croatia,0,0,0,0
1537,2020-02-09,Croatia,0,0,0,0
1538,2020-02-10,Croatia,0,0,0,0
1539,2020-02-11,Croatia,0,0,0,0
1540,2020-02-12,Croatia,0,0,0,0
1541,2020-02-13,Croatia,0,0,0,0
1542,2020-02-14,Croatia,0,0,0,0
1543,2020-02-15,Croatia,0,0,0,0
1544,2020-02-16,Croatia,0,0,0,0
1545,2020-02-17,Croatia,0,0,0,0
1546,2020-02-18,Croatia,0,0,0,0
1547,2020-02-19,Croatia,0,0,0,0
1548,2020-02-20,Croatia,0,0,0,0
1549,2020-02-21,Croatia,0,0,0,0
1550,2020-02-22,Croatia,0,0,0,0
1551,2020-02-23,Croatia,0,0,0,0
1552,2020-02-24,Croatia,0,0,0,0
1553,2020-02-25,Croatia,0,0,0,0
1554,2020-02-26,Croatia,1,0,1,0
1555,2020-02-27,Croatia,1,0,2,0
1556,2020-02-28,Croatia,1,0,3,0
1557,2020-02-29,Croatia,2,0,5,0
1558,2020-03-01,Croatia,0,0,5,0
1559,2020-03-02,Croatia,2,0,7,0
1560,2020-03-03,Croatia,1,0,8,0
1561,2020-03-04,Croatia,1,0,9,0
1562,2020-03-06,Croatia,1,0,10,0
1563,2020-03-07,Croatia,1,0,11,0
1564,2020-03-08,Croatia,1,0,12,0
1565,2020-03-11,Croatia,1,0,13,0
1566,2020-03-12,Croatia,3,0,16,0
1567,2020-03-13,Croatia,9,0,25,0
1568,2020-03-14,Croatia,6,0,31,0
1569,2020-03-15,Croatia,6,0,37,0
1570,2020-03-16,Croatia,11,0,48,0
1571,2020-03-17,Croatia,8,0,56,0
1572,2020-03-18,Croatia,13,0,69,0
1573,2020-03-19,Croatia,12,0,81,0
1574,2020-03-20,Croatia,23,0,104,0
1575,2020-03-21,Croatia,22,0,126,0
1576,2020-03-22,Croatia,80,0,206,0
1577,2020-03-23,Croatia,29,0,235,0
1578,2020-03-24,Croatia,71,0,306,0
1579,2020-03-25,Croatia,76,1,382,1
1580,2020-03-26,Croatia,36,0,418,1
1581,2020-03-27,Croatia,77,1,495,2
1582,2020-03-28,Croatia,91,1,586,3
