,date,location,new_cases,new_deaths,total_cases,total_deaths
1830,2019-12-31,Dominican Republic,0,0,0,0
1831,2020-01-01,Dominican Republic,0,0,0,0
1832,2020-01-02,Dominican Republic,0,0,0,0
1833,2020-01-03,Dominican Republic,0,0,0,0
1834,2020-01-04,Dominican Republic,0,0,0,0
1835,2020-01-05,Dominican Republic,0,0,0,0
1836,2020-01-06,Dominican Republic,0,0,0,0
1837,2020-01-07,Dominican Republic,0,0,0,0
1838,2020-01-08,Dominican Republic,0,0,0,0
1839,2020-01-09,Dominican Republic,0,0,0,0
1840,2020-01-10,Dominican Republic,0,0,0,0
1841,2020-01-11,Dominican Republic,0,0,0,0
1842,2020-01-12,Dominican Republic,0,0,0,0
1843,2020-01-13,Dominican Republic,0,0,0,0
1844,2020-01-14,Dominican Republic,0,0,0,0
1845,2020-01-15,Dominican Republic,0,0,0,0
1846,2020-01-16,Dominican Republic,0,0,0,0
1847,2020-01-17,Dominican Republic,0,0,0,0
1848,2020-01-18,Dominican Republic,0,0,0,0
1849,2020-01-19,Dominican Republic,0,0,0,0
1850,2020-01-20,Dominican Republic,0,0,0,0
1851,2020-01-21,Dominican Republic,0,0,0,0
1852,2020-01-22,Dominican Republic,0,0,0,0
1853,2020-01-23,Dominican Republic,0,0,0,0
1854,2020-01-24,Dominican Republic,0,0,0,0
1855,2020-01-25,Dominican Republic,0,0,0,0
1856,2020-01-26,Dominican Republic,0,0,0,0
1857,2020-01-27,Dominican Republic,0,0,0,0
1858,2020-01-28,Dominican Republic,0,0,0,0
1859,2020-01-29,Dominican Republic,0,0,0,0
1860,2020-01-30,Dominican Republic,0,0,0,0
1861,2020-01-31,Dominican Republic,0,0,0,0
1862,2020-02-01,Dominican Republic,0,0,0,0
1863,2020-02-02,Dominican Republic,0,0,0,0
1864,2020-02-03,Dominican Republic,0,0,0,0
1865,2020-02-04,Dominican Republic,0,0,0,0
1866,2020-02-05,Dominican Republic,0,0,0,0
1867,2020-02-06,Dominican Republic,0,0,0,0
1868,2020-02-07,Dominican Republic,0,0,0,0
1869,2020-02-08,Dominican Republic,0,0,0,0
1870,2020-02-09,Dominican Republic,0,0,0,0
1871,2020-02-10,Dominican Republic,0,0,0,0
1872,2020-02-11,Dominican Republic,0,0,0,0
1873,2020-02-12,Dominican Republic,0,0,0,0
1874,2020-02-13,Dominican Republic,0,0,0,0
1875,2020-02-14,Dominican Republic,0,0,0,0
1876,2020-02-15,Dominican Republic,0,0,0,0
1877,2020-02-16,Dominican Republic,0,0,0,0
1878,2020-02-17,Dominican Republic,0,0,0,0
1879,2020-02-18,Dominican Republic,0,0,0,0
1880,2020-02-19,Dominican Republic,0,0,0,0
1881,2020-02-20,Dominican Republic,0,0,0,0
1882,2020-02-21,Dominican Republic,0,0,0,0
1883,2020-02-22,Dominican Republic,0,0,0,0
1884,2020-02-23,Dominican Republic,0,0,0,0
1885,2020-02-24,Dominican Republic,0,0,0,0
1886,2020-02-25,Dominican Republic,0,0,0,0
1887,2020-02-26,Dominican Republic,0,0,0,0
1888,2020-02-27,Dominican Republic,0,0,0,0
1889,2020-02-28,Dominican Republic,0,0,0,0
1890,2020-02-29,Dominican Republic,0,0,0,0
1891,2020-03-01,Dominican Republic,0,0,0,0
1892,2020-03-02,Dominican Republic,1,0,1,0
1893,2020-03-07,Dominican Republic,1,0,2,0
1894,2020-03-10,Dominican Republic,3,0,5,0
1895,2020-03-14,Dominican Republic,6,0,11,0
1896,2020-03-15,Dominican Republic,0,0,11,0
1897,2020-03-16,Dominican Republic,0,0,11,0
1898,2020-03-17,Dominican Republic,0,0,11,0
1899,2020-03-18,Dominican Republic,0,0,11,0
1900,2020-03-19,Dominican Republic,10,0,21,0
1901,2020-03-20,Dominican Republic,0,0,21,0
1902,2020-03-21,Dominican Republic,13,2,34,2
1903,2020-03-22,Dominican Republic,78,1,112,3
1904,2020-03-23,Dominican Republic,90,0,202,3
1905,2020-03-24,Dominican Republic,43,0,245,3
1906,2020-03-25,Dominican Republic,67,3,312,6
1907,2020-03-26,Dominican Republic,80,4,392,10
1908,2020-03-27,Dominican Republic,96,0,488,10
1909,2020-03-28,Dominican Republic,93,10,581,20
