,date,location,new_cases,new_deaths,total_cases,total_deaths
2227,2019-12-31,Finland,0,0,0,0
2228,2020-01-01,Finland,0,0,0,0
2229,2020-01-02,Finland,0,0,0,0
2230,2020-01-03,Finland,0,0,0,0
2231,2020-01-04,Finland,0,0,0,0
2232,2020-01-05,Finland,0,0,0,0
2233,2020-01-06,Finland,0,0,0,0
2234,2020-01-07,Finland,0,0,0,0
2235,2020-01-08,Finland,0,0,0,0
2236,2020-01-09,Finland,0,0,0,0
2237,2020-01-10,Finland,0,0,0,0
2238,2020-01-11,Finland,0,0,0,0
2239,2020-01-12,Finland,0,0,0,0
2240,2020-01-13,Finland,0,0,0,0
2241,2020-01-14,Finland,0,0,0,0
2242,2020-01-15,Finland,0,0,0,0
2243,2020-01-16,Finland,0,0,0,0
2244,2020-01-17,Finland,0,0,0,0
2245,2020-01-18,Finland,0,0,0,0
2246,2020-01-19,Finland,0,0,0,0
2247,2020-01-20,Finland,0,0,0,0
2248,2020-01-21,Finland,0,0,0,0
2249,2020-01-22,Finland,0,0,0,0
2250,2020-01-23,Finland,0,0,0,0
2251,2020-01-24,Finland,0,0,0,0
2252,2020-01-25,Finland,0,0,0,0
2253,2020-01-26,Finland,0,0,0,0
2254,2020-01-27,Finland,0,0,0,0
2255,2020-01-28,Finland,0,0,0,0
2256,2020-01-29,Finland,0,0,0,0
2257,2020-01-30,Finland,1,0,1,0
2258,2020-01-31,Finland,0,0,1,0
2259,2020-02-01,Finland,0,0,1,0
2260,2020-02-02,Finland,0,0,1,0
2261,2020-02-03,Finland,0,0,1,0
2262,2020-02-04,Finland,0,0,1,0
2263,2020-02-05,Finland,0,0,1,0
2264,2020-02-06,Finland,0,0,1,0
2265,2020-02-07,Finland,0,0,1,0
2266,2020-02-08,Finland,0,0,1,0
2267,2020-02-09,Finland,0,0,1,0
2268,2020-02-10,Finland,0,0,1,0
2269,2020-02-11,Finland,0,0,1,0
2270,2020-02-12,Finland,0,0,1,0
2271,2020-02-13,Finland,0,0,1,0
2272,2020-02-14,Finland,0,0,1,0
2273,2020-02-15,Finland,0,0,1,0
2274,2020-02-16,Finland,0,0,1,0
2275,2020-02-17,Finland,0,0,1,0
2276,2020-02-18,Finland,0,0,1,0
2277,2020-02-19,Finland,0,0,1,0
2278,2020-02-20,Finland,0,0,1,0
2279,2020-02-21,Finland,0,0,1,0
2280,2020-02-22,Finland,0,0,1,0
2281,2020-02-23,Finland,0,0,1,0
2282,2020-02-24,Finland,0,0,1,0
2283,2020-02-25,Finland,0,0,1,0
2284,2020-02-26,Finland,0,0,1,0
2285,2020-02-27,Finland,1,0,2,0
2286,2020-02-28,Finland,0,0,2,0
2287,2020-02-29,Finland,1,0,3,0
2288,2020-03-01,Finland,0,0,3,0
2289,2020-03-02,Finland,3,0,6,0
2290,2020-03-04,Finland,1,0,7,0
2291,2020-03-06,Finland,5,0,12,0
2292,2020-03-07,Finland,7,0,19,0
2293,2020-03-09,Finland,11,0,30,0
2294,2020-03-10,Finland,10,0,40,0
2295,2020-03-12,Finland,19,0,59,0
2296,2020-03-13,Finland,96,0,155,0
2297,2020-03-15,Finland,55,0,210,0
2298,2020-03-16,Finland,57,0,267,0
2299,2020-03-17,Finland,5,0,272,0
2300,2020-03-18,Finland,47,0,319,0
2301,2020-03-19,Finland,50,0,369,0
2302,2020-03-20,Finland,31,0,400,0
2303,2020-03-21,Finland,50,0,450,0
2304,2020-03-22,Finland,71,1,521,1
2305,2020-03-23,Finland,105,0,626,1
2306,2020-03-24,Finland,74,0,700,1
2307,2020-03-25,Finland,92,0,792,1
2308,2020-03-26,Finland,88,2,880,3
2309,2020-03-27,Finland,78,1,958,4
2310,2020-03-28,Finland,67,3,1025,7
