,date,location,new_cases,new_deaths,total_cases,total_deaths
2410,2020-03-13,Gabon,1,0,1,0
2411,2020-03-15,Gabon,0,0,1,0
2412,2020-03-16,Gabon,0,0,1,0
2413,2020-03-17,Gabon,0,0,1,0
2414,2020-03-18,Gabon,0,0,1,0
2415,2020-03-19,Gabon,2,0,3,0
2416,2020-03-20,Gabon,0,0,3,0
2417,2020-03-21,Gabon,0,1,3,1
2418,2020-03-22,Gabon,0,0,3,1
2419,2020-03-23,Gabon,3,0,6,1
2420,2020-03-24,Gabon,0,0,6,1
2421,2020-03-25,Gabon,0,0,6,1
2422,2020-03-26,Gabon,0,0,6,1
2423,2020-03-27,Gabon,1,0,7,1
2424,2020-03-28,Gabon,0,0,7,1
