,date,location,new_cases,new_deaths,total_cases,total_deaths
2611,2020-03-13,Ghana,2,0,2,0
2612,2020-03-15,Ghana,0,0,2,0
2613,2020-03-16,Ghana,0,0,2,0
2614,2020-03-17,Ghana,4,0,6,0
2615,2020-03-18,Ghana,0,0,6,0
2616,2020-03-19,Ghana,1,0,7,0
2617,2020-03-20,Ghana,4,0,11,0
2618,2020-03-21,Ghana,5,0,16,0
2619,2020-03-22,Ghana,5,1,21,1
2620,2020-03-23,Ghana,3,0,24,1
2621,2020-03-24,Ghana,3,1,27,2
2622,2020-03-25,Ghana,26,0,53,2
2623,2020-03-26,Ghana,15,1,68,3
2624,2020-03-27,Ghana,64,0,132,3
2625,2020-03-28,Ghana,5,0,137,3
