,date,location,new_cases,new_deaths,total_cases,total_deaths
2809,2020-03-12,Honduras,2,0,2,0
2810,2020-03-14,Honduras,1,0,3,0
2811,2020-03-16,Honduras,3,0,6,0
2812,2020-03-17,Honduras,2,0,8,0
2813,2020-03-18,Honduras,1,0,9,0
2814,2020-03-19,Honduras,3,0,12,0
2815,2020-03-20,Honduras,12,0,24,0
2816,2020-03-21,Honduras,0,0,24,0
2817,2020-03-22,Honduras,2,0,26,0
2818,2020-03-23,Honduras,1,0,27,0
2819,2020-03-24,Honduras,3,0,30,0
2820,2020-03-25,Honduras,6,0,36,0
2821,2020-03-26,Honduras,16,0,52,0
2822,2020-03-27,Honduras,15,1,67,1
2823,2020-03-28,Honduras,28,0,95,1
