,date,location,new_cases,new_deaths,total_cases,total_deaths
2847,2019-12-31,Iceland,0,0,0,0
2848,2020-01-01,Iceland,0,0,0,0
2849,2020-01-02,Iceland,0,0,0,0
2850,2020-01-03,Iceland,0,0,0,0
2851,2020-01-04,Iceland,0,0,0,0
2852,2020-01-05,Iceland,0,0,0,0
2853,2020-01-06,Iceland,0,0,0,0
2854,2020-01-07,Iceland,0,0,0,0
2855,2020-01-08,Iceland,0,0,0,0
2856,2020-01-09,Iceland,0,0,0,0
2857,2020-01-10,Iceland,0,0,0,0
2858,2020-01-11,Iceland,0,0,0,0
2859,2020-01-12,Iceland,0,0,0,0
2860,2020-01-13,Iceland,0,0,0,0
2861,2020-01-14,Iceland,0,0,0,0
2862,2020-01-15,Iceland,0,0,0,0
2863,2020-01-16,Iceland,0,0,0,0
2864,2020-01-17,Iceland,0,0,0,0
2865,2020-01-18,Iceland,0,0,0,0
2866,2020-01-19,Iceland,0,0,0,0
2867,2020-01-20,Iceland,0,0,0,0
2868,2020-01-21,Iceland,0,0,0,0
2869,2020-01-22,Iceland,0,0,0,0
2870,2020-01-23,Iceland,0,0,0,0
2871,2020-01-24,Iceland,0,0,0,0
2872,2020-01-25,Iceland,0,0,0,0
2873,2020-01-26,Iceland,0,0,0,0
2874,2020-01-27,Iceland,0,0,0,0
2875,2020-01-28,Iceland,0,0,0,0
2876,2020-01-29,Iceland,0,0,0,0
2877,2020-01-30,Iceland,0,0,0,0
2878,2020-01-31,Iceland,0,0,0,0
2879,2020-02-01,Iceland,0,0,0,0
2880,2020-02-02,Iceland,0,0,0,0
2881,2020-02-03,Iceland,0,0,0,0
2882,2020-02-04,Iceland,0,0,0,0
2883,2020-02-05,Iceland,0,0,0,0
2884,2020-02-06,Iceland,0,0,0,0
2885,2020-02-07,Iceland,0,0,0,0
2886,2020-02-08,Iceland,0,0,0,0
2887,2020-02-09,Iceland,0,0,0,0
2888,2020-02-10,Iceland,0,0,0,0
2889,2020-02-11,Iceland,0,0,0,0
2890,2020-02-12,Iceland,0,0,0,0
2891,2020-02-13,Iceland,0,0,0,0
2892,2020-02-14,Iceland,0,0,0,0
2893,2020-02-15,Iceland,0,0,0,0
2894,2020-02-16,Iceland,0,0,0,0
2895,2020-02-17,Iceland,0,0,0,0
2896,2020-02-18,Iceland,0,0,0,0
2897,2020-02-19,Iceland,0,0,0,0
2898,2020-02-20,Iceland,0,0,0,0
2899,2020-02-21,Iceland,0,0,0,0
2900,2020-02-22,Iceland,0,0,0,0
2901,2020-02-23,Iceland,0,0,0,0
2902,2020-02-24,Iceland,0,0,0,0
2903,2020-02-25,Iceland,0,0,0,0
2904,2020-02-26,Iceland,0,0,0,0
2905,2020-02-27,Iceland,0,0,0,0
2906,2020-02-28,Iceland,0,0,0,0
2907,2020-02-29,Iceland,1,0,1,0
2908,2020-03-01,Iceland,0,0,1,0
2909,2020-03-02,Iceland,2,0,3,0
2910,2020-03-03,Iceland,3,0,6,0
2911,2020-03-04,Iceland,10,0,16,0
2912,2020-03-05,Iceland,10,0,26,0
2913,2020-03-06,Iceland,9,0,35,0
2914,2020-03-07,Iceland,8,0,43,0
2915,2020-03-08,Iceland,10,0,53,0
2916,2020-03-09,Iceland,2,0,55,0
2917,2020-03-10,Iceland,10,0,65,0
2918,2020-03-11,Iceland,5,0,70,0
2919,2020-03-12,Iceland,15,0,85,0
2920,2020-03-13,Iceland,32,0,117,0
2921,2020-03-14,Iceland,0,0,117,0
2922,2020-03-15,Iceland,21,0,138,0
2923,2020-03-16,Iceland,40,0,178,0
2924,2020-03-17,Iceland,21,0,199,0
2925,2020-03-18,Iceland,48,0,247,0
2926,2020-03-19,Iceland,3,0,250,0
2927,2020-03-20,Iceland,80,1,330,1
2928,2020-03-21,Iceland,79,0,409,1
2929,2020-03-22,Iceland,64,0,473,1
2930,2020-03-23,Iceland,95,0,568,1
2931,2020-03-24,Iceland,20,1,588,2
2932,2020-03-25,Iceland,60,0,648,2
2933,2020-03-26,Iceland,89,0,737,2
2934,2020-03-27,Iceland,65,0,802,2
2935,2020-03-28,Iceland,88,0,890,2
