,date,location,new_cases,new_deaths,total_cases,total_deaths
3024,2019-12-31,Indonesia,0,0,0,0
3025,2020-01-01,Indonesia,0,0,0,0
3026,2020-01-02,Indonesia,0,0,0,0
3027,2020-01-03,Indonesia,0,0,0,0
3028,2020-01-04,Indonesia,0,0,0,0
3029,2020-01-05,Indonesia,0,0,0,0
3030,2020-01-06,Indonesia,0,0,0,0
3031,2020-01-07,Indonesia,0,0,0,0
3032,2020-01-08,Indonesia,0,0,0,0
3033,2020-01-09,Indonesia,0,0,0,0
3034,2020-01-10,Indonesia,0,0,0,0
3035,2020-01-11,Indonesia,0,0,0,0
3036,2020-01-12,Indonesia,0,0,0,0
3037,2020-01-13,Indonesia,0,0,0,0
3038,2020-01-14,Indonesia,0,0,0,0
3039,2020-01-15,Indonesia,0,0,0,0
3040,2020-01-16,Indonesia,0,0,0,0
3041,2020-01-17,Indonesia,0,0,0,0
3042,2020-01-18,Indonesia,0,0,0,0
3043,2020-01-19,Indonesia,0,0,0,0
3044,2020-01-20,Indonesia,0,0,0,0
3045,2020-01-21,Indonesia,0,0,0,0
3046,2020-01-22,Indonesia,0,0,0,0
3047,2020-01-23,Indonesia,0,0,0,0
3048,2020-01-24,Indonesia,0,0,0,0
3049,2020-01-25,Indonesia,0,0,0,0
3050,2020-01-26,Indonesia,0,0,0,0
3051,2020-01-27,Indonesia,0,0,0,0
3052,2020-01-28,Indonesia,0,0,0,0
3053,2020-01-29,Indonesia,0,0,0,0
3054,2020-01-30,Indonesia,0,0,0,0
3055,2020-01-31,Indonesia,0,0,0,0
3056,2020-02-01,Indonesia,0,0,0,0
3057,2020-02-02,Indonesia,0,0,0,0
3058,2020-02-03,Indonesia,0,0,0,0
3059,2020-02-04,Indonesia,0,0,0,0
3060,2020-02-05,Indonesia,0,0,0,0
3061,2020-02-06,Indonesia,0,0,0,0
3062,2020-02-07,Indonesia,0,0,0,0
3063,2020-02-08,Indonesia,0,0,0,0
3064,2020-02-09,Indonesia,0,0,0,0
3065,2020-02-10,Indonesia,0,0,0,0
3066,2020-02-11,Indonesia,0,0,0,0
3067,2020-02-12,Indonesia,0,0,0,0
3068,2020-02-13,Indonesia,0,0,0,0
3069,2020-02-14,Indonesia,0,0,0,0
3070,2020-02-15,Indonesia,0,0,0,0
3071,2020-02-16,Indonesia,0,0,0,0
3072,2020-02-17,Indonesia,0,0,0,0
3073,2020-02-18,Indonesia,0,0,0,0
3074,2020-02-19,Indonesia,0,0,0,0
3075,2020-02-20,Indonesia,0,0,0,0
3076,2020-02-21,Indonesia,0,0,0,0
3077,2020-02-22,Indonesia,0,0,0,0
3078,2020-02-23,Indonesia,0,0,0,0
3079,2020-02-24,Indonesia,0,0,0,0
3080,2020-02-25,Indonesia,0,0,0,0
3081,2020-02-26,Indonesia,0,0,0,0
3082,2020-02-27,Indonesia,0,0,0,0
3083,2020-02-28,Indonesia,0,0,0,0
3084,2020-02-29,Indonesia,0,0,0,0
3085,2020-03-01,Indonesia,0,0,0,0
3086,2020-03-02,Indonesia,2,0,2,0
3087,2020-03-07,Indonesia,2,0,4,0
3088,2020-03-09,Indonesia,2,0,6,0
3089,2020-03-11,Indonesia,13,0,19,0
3090,2020-03-12,Indonesia,15,1,34,1
3091,2020-03-14,Indonesia,35,3,69,4
3092,2020-03-15,Indonesia,27,0,96,4
3093,2020-03-16,Indonesia,21,1,117,5
3094,2020-03-17,Indonesia,17,0,134,5
3095,2020-03-18,Indonesia,38,0,172,5
3096,2020-03-19,Indonesia,0,0,172,5
3097,2020-03-20,Indonesia,55,14,227,19
3098,2020-03-21,Indonesia,82,6,309,25
3099,2020-03-22,Indonesia,141,13,450,38
3100,2020-03-23,Indonesia,64,10,514,48
3101,2020-03-24,Indonesia,65,1,579,49
3102,2020-03-25,Indonesia,107,6,686,55
3103,2020-03-26,Indonesia,104,3,790,58
3104,2020-03-27,Indonesia,103,20,893,78
3105,2020-03-28,Indonesia,153,9,1046,87
