,date,location,new_cases,new_deaths,total_cases,total_deaths
3106,2019-12-31,International,0,0,0,0
3107,2020-01-01,International,0,0,0,0
3108,2020-01-02,International,0,0,0,0
3109,2020-01-03,International,0,0,0,0
3110,2020-01-04,International,0,0,0,0
3111,2020-01-05,International,0,0,0,0
3112,2020-01-06,International,0,0,0,0
3113,2020-01-07,International,0,0,0,0
3114,2020-01-08,International,0,0,0,0
3115,2020-01-09,International,0,0,0,0
3116,2020-01-10,International,0,0,0,0
3117,2020-01-11,International,0,0,0,0
3118,2020-01-12,International,0,0,0,0
3119,2020-01-13,International,0,0,0,0
3120,2020-01-14,International,0,0,0,0
3121,2020-01-15,International,0,0,0,0
3122,2020-01-16,International,0,0,0,0
3123,2020-01-17,International,0,0,0,0
3124,2020-01-18,International,0,0,0,0
3125,2020-01-19,International,0,0,0,0
3126,2020-01-20,International,0,0,0,0
3127,2020-01-21,International,0,0,0,0
3128,2020-01-22,International,0,0,0,0
3129,2020-01-23,International,0,0,0,0
3130,2020-01-24,International,0,0,0,0
3131,2020-01-25,International,0,0,0,0
3132,2020-01-26,International,0,0,0,0
3133,2020-01-27,International,0,0,0,0
3134,2020-01-28,International,0,0,0,0
3135,2020-01-29,International,0,0,0,0
3136,2020-01-30,International,0,0,0,0
3137,2020-01-31,International,0,0,0,0
3138,2020-02-01,International,0,0,0,0
3139,2020-02-02,International,0,0,0,0
3140,2020-02-03,International,0,0,0,0
3141,2020-02-04,International,0,0,0,0
3142,2020-02-05,International,10,0,10,0
3143,2020-02-06,International,10,0,20,0
3144,2020-02-07,International,41,0,61,0
3145,2020-02-08,International,3,0,64,0
3146,2020-02-09,International,0,0,64,0
3147,2020-02-10,International,6,0,70,0
3148,2020-02-11,International,65,0,135,0
3149,2020-02-12,International,39,0,174,0
3150,2020-02-13,International,0,0,174,0
3151,2020-02-14,International,47,0,221,0
3152,2020-02-15,International,0,0,221,0
3153,2020-02-16,International,134,0,355,0
3154,2020-02-17,International,0,0,355,0
3155,2020-02-18,International,99,0,454,0
3156,2020-02-19,International,88,0,542,0
3157,2020-02-20,International,79,2,621,2
3158,2020-02-21,International,13,0,634,2
3159,2020-02-22,International,0,0,634,2
3160,2020-02-23,International,0,0,634,2
3161,2020-02-24,International,57,1,691,3
3162,2020-02-25,International,0,0,691,3
3163,2020-02-26,International,0,1,691,4
3164,2020-02-27,International,14,0,705,4
3165,2020-02-28,International,0,0,705,4
3166,2020-02-29,International,0,2,705,6
3167,2020-03-01,International,0,0,705,6
3168,2020-03-02,International,0,0,705,6
3169,2020-03-10,International,-9,1,696,7
