,date,location,new_cases,new_deaths,total_cases,total_deaths
3259,2019-12-31,Iraq,0,0,0,0
3260,2020-01-01,Iraq,0,0,0,0
3261,2020-01-02,Iraq,0,0,0,0
3262,2020-01-03,Iraq,0,0,0,0
3263,2020-01-04,Iraq,0,0,0,0
3264,2020-01-05,Iraq,0,0,0,0
3265,2020-01-06,Iraq,0,0,0,0
3266,2020-01-07,Iraq,0,0,0,0
3267,2020-01-08,Iraq,0,0,0,0
3268,2020-01-09,Iraq,0,0,0,0
3269,2020-01-10,Iraq,0,0,0,0
3270,2020-01-11,Iraq,0,0,0,0
3271,2020-01-12,Iraq,0,0,0,0
3272,2020-01-13,Iraq,0,0,0,0
3273,2020-01-14,Iraq,0,0,0,0
3274,2020-01-15,Iraq,0,0,0,0
3275,2020-01-16,Iraq,0,0,0,0
3276,2020-01-17,Iraq,0,0,0,0
3277,2020-01-18,Iraq,0,0,0,0
3278,2020-01-19,Iraq,0,0,0,0
3279,2020-01-20,Iraq,0,0,0,0
3280,2020-01-21,Iraq,0,0,0,0
3281,2020-01-22,Iraq,0,0,0,0
3282,2020-01-23,Iraq,0,0,0,0
3283,2020-01-24,Iraq,0,0,0,0
3284,2020-01-25,Iraq,0,0,0,0
3285,2020-01-26,Iraq,0,0,0,0
3286,2020-01-27,Iraq,0,0,0,0
3287,2020-01-28,Iraq,0,0,0,0
3288,2020-01-29,Iraq,0,0,0,0
3289,2020-01-30,Iraq,0,0,0,0
3290,2020-01-31,Iraq,0,0,0,0
3291,2020-02-01,Iraq,0,0,0,0
3292,2020-02-02,Iraq,0,0,0,0
3293,2020-02-03,Iraq,0,0,0,0
3294,2020-02-04,Iraq,0,0,0,0
3295,2020-02-05,Iraq,0,0,0,0
3296,2020-02-06,Iraq,0,0,0,0
3297,2020-02-07,Iraq,0,0,0,0
3298,2020-02-08,Iraq,0,0,0,0
3299,2020-02-09,Iraq,0,0,0,0
3300,2020-02-10,Iraq,0,0,0,0
3301,2020-02-11,Iraq,0,0,0,0
3302,2020-02-12,Iraq,0,0,0,0
3303,2020-02-13,Iraq,0,0,0,0
3304,2020-02-14,Iraq,0,0,0,0
3305,2020-02-15,Iraq,0,0,0,0
3306,2020-02-16,Iraq,0,0,0,0
3307,2020-02-17,Iraq,0,0,0,0
3308,2020-02-18,Iraq,0,0,0,0
3309,2020-02-19,Iraq,0,0,0,0
3310,2020-02-20,Iraq,0,0,0,0
3311,2020-02-21,Iraq,0,0,0,0
3312,2020-02-22,Iraq,0,0,0,0
3313,2020-02-23,Iraq,0,0,0,0
3314,2020-02-24,Iraq,0,0,0,0
3315,2020-02-25,Iraq,1,0,1,0
3316,2020-02-26,Iraq,4,0,5,0
3317,2020-02-27,Iraq,0,0,5,0
3318,2020-02-28,Iraq,1,0,6,0
3319,2020-02-29,Iraq,1,0,7,0
3320,2020-03-01,Iraq,6,0,13,0
3321,2020-03-02,Iraq,6,0,19,0
3322,2020-03-03,Iraq,2,0,21,0
3323,2020-03-04,Iraq,5,0,26,0
3324,2020-03-05,Iraq,5,0,31,0
3325,2020-03-06,Iraq,7,2,38,2
3326,2020-03-08,Iraq,16,0,54,2
3327,2020-03-09,Iraq,7,4,61,6
3328,2020-03-11,Iraq,0,0,61,6
3329,2020-03-12,Iraq,9,2,70,8
3330,2020-03-13,Iraq,4,0,74,8
3331,2020-03-14,Iraq,11,1,85,9
3332,2020-03-15,Iraq,0,0,85,9
3333,2020-03-16,Iraq,39,0,124,9
3334,2020-03-17,Iraq,0,0,124,9
3335,2020-03-18,Iraq,30,2,154,11
3336,2020-03-19,Iraq,10,1,164,12
3337,2020-03-20,Iraq,13,0,177,12
3338,2020-03-21,Iraq,16,2,193,14
3339,2020-03-22,Iraq,21,3,214,17
3340,2020-03-23,Iraq,19,3,233,20
3341,2020-03-24,Iraq,33,3,266,23
3342,2020-03-25,Iraq,50,4,316,27
3343,2020-03-26,Iraq,30,2,346,29
3344,2020-03-27,Iraq,36,7,382,36
3345,2020-03-28,Iraq,76,4,458,40
