,date,location,new_cases,new_deaths,total_cases,total_deaths
3346,2019-12-31,Ireland,0,0,0,0
3347,2020-01-01,Ireland,0,0,0,0
3348,2020-01-02,Ireland,0,0,0,0
3349,2020-01-03,Ireland,0,0,0,0
3350,2020-01-04,Ireland,0,0,0,0
3351,2020-01-05,Ireland,0,0,0,0
3352,2020-01-06,Ireland,0,0,0,0
3353,2020-01-07,Ireland,0,0,0,0
3354,2020-01-08,Ireland,0,0,0,0
3355,2020-01-09,Ireland,0,0,0,0
3356,2020-01-10,Ireland,0,0,0,0
3357,2020-01-11,Ireland,0,0,0,0
3358,2020-01-12,Ireland,0,0,0,0
3359,2020-01-13,Ireland,0,0,0,0
3360,2020-01-14,Ireland,0,0,0,0
3361,2020-01-15,Ireland,0,0,0,0
3362,2020-01-16,Ireland,0,0,0,0
3363,2020-01-17,Ireland,0,0,0,0
3364,2020-01-18,Ireland,0,0,0,0
3365,2020-01-19,Ireland,0,0,0,0
3366,2020-01-20,Ireland,0,0,0,0
3367,2020-01-21,Ireland,0,0,0,0
3368,2020-01-22,Ireland,0,0,0,0
3369,2020-01-23,Ireland,0,0,0,0
3370,2020-01-24,Ireland,0,0,0,0
3371,2020-01-25,Ireland,0,0,0,0
3372,2020-01-26,Ireland,0,0,0,0
3373,2020-01-27,Ireland,0,0,0,0
3374,2020-01-28,Ireland,0,0,0,0
3375,2020-01-29,Ireland,0,0,0,0
3376,2020-01-30,Ireland,0,0,0,0
3377,2020-01-31,Ireland,0,0,0,0
3378,2020-02-01,Ireland,0,0,0,0
3379,2020-02-02,Ireland,0,0,0,0
3380,2020-02-03,Ireland,0,0,0,0
3381,2020-02-04,Ireland,0,0,0,0
3382,2020-02-05,Ireland,0,0,0,0
3383,2020-02-06,Ireland,0,0,0,0
3384,2020-02-07,Ireland,0,0,0,0
3385,2020-02-08,Ireland,0,0,0,0
3386,2020-02-09,Ireland,0,0,0,0
3387,2020-02-10,Ireland,0,0,0,0
3388,2020-02-11,Ireland,0,0,0,0
3389,2020-02-12,Ireland,0,0,0,0
3390,2020-02-13,Ireland,0,0,0,0
3391,2020-02-14,Ireland,0,0,0,0
3392,2020-02-15,Ireland,0,0,0,0
3393,2020-02-16,Ireland,0,0,0,0
3394,2020-02-17,Ireland,0,0,0,0
3395,2020-02-18,Ireland,0,0,0,0
3396,2020-02-19,Ireland,0,0,0,0
3397,2020-02-20,Ireland,0,0,0,0
3398,2020-02-21,Ireland,0,0,0,0
3399,2020-02-22,Ireland,0,0,0,0
3400,2020-02-23,Ireland,0,0,0,0
3401,2020-02-24,Ireland,0,0,0,0
3402,2020-02-25,Ireland,0,0,0,0
3403,2020-02-26,Ireland,0,0,0,0
3404,2020-02-27,Ireland,0,0,0,0
3405,2020-02-28,Ireland,0,0,0,0
3406,2020-02-29,Ireland,0,0,0,0
3407,2020-03-01,Ireland,1,0,1,0
3408,2020-03-02,Ireland,0,0,1,0
3409,2020-03-04,Ireland,1,0,2,0
3410,2020-03-05,Ireland,4,0,6,0
3411,2020-03-06,Ireland,7,0,13,0
3412,2020-03-07,Ireland,5,0,18,0
3413,2020-03-08,Ireland,1,0,19,0
3414,2020-03-09,Ireland,2,0,21,0
3415,2020-03-11,Ireland,14,0,35,0
3416,2020-03-12,Ireland,8,1,43,1
3417,2020-03-13,Ireland,27,0,70,1
3418,2020-03-14,Ireland,21,0,91,1
3419,2020-03-15,Ireland,38,1,129,2
3420,2020-03-16,Ireland,40,0,169,2
3421,2020-03-17,Ireland,54,0,223,2
3422,2020-03-18,Ireland,69,0,292,2
3423,2020-03-19,Ireland,74,0,366,2
3424,2020-03-20,Ireland,191,1,557,3
3425,2020-03-21,Ireland,126,0,683,3
3426,2020-03-22,Ireland,102,0,785,3
3427,2020-03-23,Ireland,121,1,906,4
3428,2020-03-24,Ireland,219,2,1125,6
3429,2020-03-25,Ireland,204,1,1329,7
3430,2020-03-26,Ireland,235,2,1564,9
3431,2020-03-27,Ireland,255,10,1819,19
3432,2020-03-28,Ireland,302,3,2121,22
