,date,location,new_cases,new_deaths,total_cases,total_deaths
3441,2019-12-31,Israel,0,0,0,0
3442,2020-01-01,Israel,0,0,0,0
3443,2020-01-02,Israel,0,0,0,0
3444,2020-01-03,Israel,0,0,0,0
3445,2020-01-04,Israel,0,0,0,0
3446,2020-01-05,Israel,0,0,0,0
3447,2020-01-06,Israel,0,0,0,0
3448,2020-01-07,Israel,0,0,0,0
3449,2020-01-08,Israel,0,0,0,0
3450,2020-01-09,Israel,0,0,0,0
3451,2020-01-10,Israel,0,0,0,0
3452,2020-01-11,Israel,0,0,0,0
3453,2020-01-12,Israel,0,0,0,0
3454,2020-01-13,Israel,0,0,0,0
3455,2020-01-14,Israel,0,0,0,0
3456,2020-01-15,Israel,0,0,0,0
3457,2020-01-16,Israel,0,0,0,0
3458,2020-01-17,Israel,0,0,0,0
3459,2020-01-18,Israel,0,0,0,0
3460,2020-01-19,Israel,0,0,0,0
3461,2020-01-20,Israel,0,0,0,0
3462,2020-01-21,Israel,0,0,0,0
3463,2020-01-22,Israel,0,0,0,0
3464,2020-01-23,Israel,0,0,0,0
3465,2020-01-24,Israel,0,0,0,0
3466,2020-01-25,Israel,0,0,0,0
3467,2020-01-26,Israel,0,0,0,0
3468,2020-01-27,Israel,0,0,0,0
3469,2020-01-28,Israel,0,0,0,0
3470,2020-01-29,Israel,0,0,0,0
3471,2020-01-30,Israel,0,0,0,0
3472,2020-01-31,Israel,0,0,0,0
3473,2020-02-01,Israel,0,0,0,0
3474,2020-02-02,Israel,0,0,0,0
3475,2020-02-03,Israel,0,0,0,0
3476,2020-02-04,Israel,0,0,0,0
3477,2020-02-05,Israel,0,0,0,0
3478,2020-02-06,Israel,0,0,0,0
3479,2020-02-07,Israel,0,0,0,0
3480,2020-02-08,Israel,0,0,0,0
3481,2020-02-09,Israel,0,0,0,0
3482,2020-02-10,Israel,0,0,0,0
3483,2020-02-11,Israel,0,0,0,0
3484,2020-02-12,Israel,0,0,0,0
3485,2020-02-13,Israel,0,0,0,0
3486,2020-02-14,Israel,0,0,0,0
3487,2020-02-15,Israel,0,0,0,0
3488,2020-02-16,Israel,0,0,0,0
3489,2020-02-17,Israel,0,0,0,0
3490,2020-02-18,Israel,0,0,0,0
3491,2020-02-19,Israel,0,0,0,0
3492,2020-02-20,Israel,0,0,0,0
3493,2020-02-21,Israel,0,0,0,0
3494,2020-02-22,Israel,1,0,1,0
3495,2020-02-23,Israel,0,0,1,0
3496,2020-02-24,Israel,1,0,2,0
3497,2020-02-25,Israel,0,0,2,0
3498,2020-02-26,Israel,0,0,2,0
3499,2020-02-27,Israel,0,0,2,0
3500,2020-02-28,Israel,1,0,3,0
3501,2020-02-29,Israel,4,0,7,0
3502,2020-03-01,Israel,0,0,7,0
3503,2020-03-02,Israel,3,0,10,0
3504,2020-03-05,Israel,5,0,15,0
3505,2020-03-06,Israel,2,0,17,0
3506,2020-03-07,Israel,2,0,19,0
3507,2020-03-08,Israel,6,0,25,0
3508,2020-03-09,Israel,14,0,39,0
3509,2020-03-11,Israel,31,0,70,0
3510,2020-03-12,Israel,12,0,82,0
3511,2020-03-13,Israel,14,0,96,0
3512,2020-03-14,Israel,20,0,116,0
3513,2020-03-15,Israel,62,0,178,0
3514,2020-03-16,Israel,72,0,250,0
3515,2020-03-17,Israel,10,0,260,0
3516,2020-03-18,Israel,167,0,427,0
3517,2020-03-19,Israel,6,0,433,0
3518,2020-03-20,Israel,244,0,677,0
3519,2020-03-21,Israel,35,1,712,1
3520,2020-03-22,Israel,171,0,883,1
3521,2020-03-23,Israel,188,0,1071,1
3522,2020-03-24,Israel,371,0,1442,1
3523,2020-03-25,Israel,488,2,1930,3
3524,2020-03-26,Israel,439,2,2369,5
3525,2020-03-27,Israel,297,3,2666,8
3526,2020-03-28,Israel,369,2,3035,10
