,date,location,new_cases,new_deaths,total_cases,total_deaths
3527,2019-12-31,Italy,0,0,0,0
3528,2020-01-01,Italy,0,0,0,0
3529,2020-01-02,Italy,0,0,0,0
3530,2020-01-03,Italy,0,0,0,0
3531,2020-01-04,Italy,0,0,0,0
3532,2020-01-05,Italy,0,0,0,0
3533,2020-01-06,Italy,0,0,0,0
3534,2020-01-07,Italy,0,0,0,0
3535,2020-01-08,Italy,0,0,0,0
3536,2020-01-09,Italy,0,0,0,0
3537,2020-01-10,Italy,0,0,0,0
3538,2020-01-11,Italy,0,0,0,0
3539,2020-01-12,Italy,0,0,0,0
3540,2020-01-13,Italy,0,0,0,0
3541,2020-01-14,Italy,0,0,0,0
3542,2020-01-15,Italy,0,0,0,0
3543,2020-01-16,Italy,0,0,0,0
3544,2020-01-17,Italy,0,0,0,0
3545,2020-01-18,Italy,0,0,0,0
3546,2020-01-19,Italy,0,0,0,0
3547,2020-01-20,Italy,0,0,0,0
3548,2020-01-21,Italy,0,0,0,0
3549,2020-01-22,Italy,0,0,0,0
3550,2020-01-23,Italy,0,0,0,0
3551,2020-01-24,Italy,0,0,0,0
3552,2020-01-25,Italy,0,0,0,0
3553,2020-01-26,Italy,0,0,0,0
3554,2020-01-27,Italy,0,0,0,0
3555,2020-01-28,Italy,0,0,0,0
3556,2020-01-29,Italy,0,0,0,0
3557,2020-01-30,Italy,0,0,0,0
3558,2020-01-31,Italy,3,0,3,0
3559,2020-02-01,Italy,0,0,3,0
3560,2020-02-02,Italy,0,0,3,0
3561,2020-02-03,Italy,0,0,3,0
3562,2020-02-04,Italy,0,0,3,0
3563,2020-02-05,Italy,0,0,3,0
3564,2020-02-06,Italy,0,0,3,0
3565,2020-02-07,Italy,0,0,3,0
3566,2020-02-08,Italy,0,0,3,0
3567,2020-02-09,Italy,0,0,3,0
3568,2020-02-10,Italy,0,0,3,0
3569,2020-02-11,Italy,0,0,3,0
3570,2020-02-12,Italy,0,0,3,0
3571,2020-02-13,Italy,0,0,3,0
3572,2020-02-14,Italy,0,0,3,0
3573,2020-02-15,Italy,0,0,3,0
3574,2020-02-16,Italy,0,0,3,0
3575,2020-02-17,Italy,0,0,3,0
3576,2020-02-18,Italy,0,0,3,0
3577,2020-02-19,Italy,0,0,3,0
3578,2020-02-20,Italy,0,0,3,0
3579,2020-02-21,Italy,0,0,3,0
3580,2020-02-22,Italy,14,0,17,0
3581,2020-02-23,Italy,62,2,79,2
3582,2020-02-24,Italy,53,0,132,2
3583,2020-02-25,Italy,97,4,229,6
3584,2020-02-26,Italy,93,5,322,11
3585,2020-02-27,Italy,78,1,400,12
3586,2020-02-28,Italy,250,5,650,17
3587,2020-02-29,Italy,238,4,888,21
3588,2020-03-01,Italy,240,8,1128,29
3589,2020-03-02,Italy,561,6,1689,35
3590,2020-03-03,Italy,146,17,1835,52
3591,2020-03-04,Italy,667,28,2502,80
3592,2020-03-05,Italy,587,27,3089,107
3593,2020-03-06,Italy,769,41,3858,148
3594,2020-03-07,Italy,778,49,4636,197
3595,2020-03-08,Italy,1247,36,5883,233
3596,2020-03-09,Italy,1492,133,7375,366
3597,2020-03-10,Italy,1797,98,9172,464
3598,2020-03-11,Italy,977,167,10149,631
3599,2020-03-12,Italy,2313,196,12462,827
3600,2020-03-13,Italy,2651,189,15113,1016
3601,2020-03-14,Italy,2547,252,17660,1268
3602,2020-03-15,Italy,90,173,17750,1441
3603,2020-03-16,Italy,6230,370,23980,1811
3604,2020-03-17,Italy,4000,347,27980,2158
3605,2020-03-18,Italy,3526,347,31506,2505
3606,2020-03-19,Italy,4207,473,35713,2978
3607,2020-03-20,Italy,5322,429,41035,3407
3608,2020-03-21,Italy,5986,625,47021,4032
3609,2020-03-22,Italy,6557,795,53578,4827
3610,2020-03-23,Italy,5560,649,59138,5476
3611,2020-03-24,Italy,4789,601,63927,6077
3612,2020-03-25,Italy,5249,743,69176,6820
3613,2020-03-26,Italy,5210,685,74386,7505
3614,2020-03-27,Italy,6153,660,80539,8165
3615,2020-03-28,Italy,5959,971,86498,9136
