,date,location,new_cases,new_deaths,total_cases,total_deaths
3632,2019-12-31,Japan,0,0,0,0
3633,2020-01-01,Japan,0,0,0,0
3634,2020-01-02,Japan,0,0,0,0
3635,2020-01-03,Japan,0,0,0,0
3636,2020-01-04,Japan,0,0,0,0
3637,2020-01-05,Japan,0,0,0,0
3638,2020-01-06,Japan,0,0,0,0
3639,2020-01-07,Japan,0,0,0,0
3640,2020-01-08,Japan,0,0,0,0
3641,2020-01-09,Japan,0,0,0,0
3642,2020-01-10,Japan,0,0,0,0
3643,2020-01-11,Japan,0,0,0,0
3644,2020-01-12,Japan,0,0,0,0
3645,2020-01-13,Japan,0,0,0,0
3646,2020-01-14,Japan,0,0,0,0
3647,2020-01-15,Japan,1,0,1,0
3648,2020-01-16,Japan,0,0,1,0
3649,2020-01-17,Japan,0,0,1,0
3650,2020-01-18,Japan,0,0,1,0
3651,2020-01-19,Japan,0,0,1,0
3652,2020-01-20,Japan,0,0,1,0
3653,2020-01-21,Japan,0,0,1,0
3654,2020-01-22,Japan,0,0,1,0
3655,2020-01-23,Japan,0,0,1,0
3656,2020-01-24,Japan,1,0,2,0
3657,2020-01-25,Japan,0,0,2,0
3658,2020-01-26,Japan,1,0,3,0
3659,2020-01-27,Japan,0,0,3,0
3660,2020-01-28,Japan,1,0,4,0
3661,2020-01-29,Japan,3,0,7,0
3662,2020-01-30,Japan,4,0,11,0
3663,2020-01-31,Japan,3,0,14,0
3664,2020-02-01,Japan,1,0,15,0
3665,2020-02-02,Japan,4,0,19,0
3666,2020-02-03,Japan,1,0,20,0
3667,2020-02-04,Japan,0,0,20,0
3668,2020-02-05,Japan,5,0,25,0
3669,2020-02-06,Japan,0,0,25,0
3670,2020-02-07,Japan,0,0,25,0
3671,2020-02-08,Japan,0,0,25,0
3672,2020-02-09,Japan,0,0,25,0
3673,2020-02-10,Japan,0,0,25,0
3674,2020-02-11,Japan,0,0,25,0
3675,2020-02-12,Japan,0,0,25,0
3676,2020-02-13,Japan,4,1,29,1
3677,2020-02-14,Japan,1,0,30,1
3678,2020-02-15,Japan,8,0,38,1
3679,2020-02-16,Japan,14,0,52,1
3680,2020-02-17,Japan,7,0,59,1
3681,2020-02-18,Japan,0,0,59,1
3682,2020-02-19,Japan,7,0,66,1
3683,2020-02-20,Japan,18,0,84,1
3684,2020-02-21,Japan,9,0,93,1
3685,2020-02-22,Japan,12,0,105,1
3686,2020-02-23,Japan,27,0,132,1
3687,2020-02-24,Japan,12,0,144,1
3688,2020-02-25,Japan,0,0,144,1
3689,2020-02-26,Japan,20,0,164,1
3690,2020-02-27,Japan,22,2,186,3
3691,2020-02-28,Japan,24,0,210,3
3692,2020-02-29,Japan,20,0,230,3
3693,2020-03-01,Japan,9,2,239,5
3694,2020-03-02,Japan,15,1,254,6
3695,2020-03-03,Japan,0,0,254,6
3696,2020-03-04,Japan,14,0,268,6
3697,2020-03-05,Japan,49,0,317,6
3698,2020-03-06,Japan,32,0,349,6
3699,2020-03-07,Japan,59,0,408,6
3700,2020-03-08,Japan,47,0,455,6
3701,2020-03-09,Japan,33,1,488,7
3702,2020-03-10,Japan,26,2,514,9
3703,2020-03-11,Japan,54,3,568,12
3704,2020-03-12,Japan,51,3,619,15
3705,2020-03-13,Japan,56,4,675,19
3706,2020-03-14,Japan,62,2,737,21
3707,2020-03-15,Japan,43,1,780,22
3708,2020-03-16,Japan,34,2,814,24
3709,2020-03-17,Japan,10,4,824,28
3710,2020-03-18,Japan,5,0,829,28
3711,2020-03-19,Japan,44,1,873,29
3712,2020-03-20,Japan,77,4,950,33
3713,2020-03-21,Japan,57,2,1007,35
3714,2020-03-22,Japan,39,1,1046,36
3715,2020-03-23,Japan,43,5,1089,41
3716,2020-03-24,Japan,39,1,1128,42
3717,2020-03-25,Japan,65,1,1193,43
3718,2020-03-26,Japan,75,2,1268,45
3719,2020-03-27,Japan,96,1,1364,46
3720,2020-03-28,Japan,135,3,1499,49
