,date,location,new_cases,new_deaths,total_cases,total_deaths
3746,2020-03-15,Kazakhstan,6,0,6,0
3747,2020-03-16,Kazakhstan,3,0,9,0
3748,2020-03-17,Kazakhstan,2,0,11,0
3749,2020-03-18,Kazakhstan,22,0,33,0
3750,2020-03-19,Kazakhstan,4,0,37,0
3751,2020-03-20,Kazakhstan,12,0,49,0
3752,2020-03-21,Kazakhstan,4,0,53,0
3753,2020-03-22,Kazakhstan,3,0,56,0
3754,2020-03-23,Kazakhstan,4,0,60,0
3755,2020-03-24,Kazakhstan,2,0,62,0
3756,2020-03-25,Kazakhstan,17,0,79,0
3757,2020-03-26,Kazakhstan,9,0,88,0
3758,2020-03-27,Kazakhstan,32,0,120,0
3759,2020-03-28,Kazakhstan,73,0,193,0
