,date,location,new_cases,new_deaths,total_cases,total_deaths
3888,2020-03-03,Latvia,1,0,1,0
3889,2020-03-08,Latvia,1,0,2,0
3890,2020-03-09,Latvia,1,0,3,0
3891,2020-03-10,Latvia,3,0,6,0
3892,2020-03-11,Latvia,2,0,8,0
3893,2020-03-12,Latvia,2,0,10,0
3894,2020-03-13,Latvia,6,0,16,0
3895,2020-03-14,Latvia,3,0,19,0
3896,2020-03-15,Latvia,7,0,26,0
3897,2020-03-16,Latvia,5,0,31,0
3898,2020-03-17,Latvia,5,0,36,0
3899,2020-03-18,Latvia,25,0,61,0
3900,2020-03-19,Latvia,10,0,71,0
3901,2020-03-20,Latvia,15,0,86,0
3902,2020-03-21,Latvia,25,0,111,0
3903,2020-03-22,Latvia,13,0,124,0
3904,2020-03-23,Latvia,15,0,139,0
3905,2020-03-24,Latvia,41,0,180,0
3906,2020-03-25,Latvia,17,0,197,0
3907,2020-03-26,Latvia,24,0,221,0
3908,2020-03-27,Latvia,23,0,244,0
3909,2020-03-28,Latvia,36,0,280,0
