,date,location,new_cases,new_deaths,total_cases,total_deaths
4011,2020-03-05,Liechtenstein,1,0,1,0
4012,2020-03-12,Liechtenstein,2,0,3,0
4013,2020-03-13,Liechtenstein,1,0,4,0
4014,2020-03-14,Liechtenstein,0,0,4,0
4015,2020-03-15,Liechtenstein,0,0,4,0
4016,2020-03-16,Liechtenstein,3,0,7,0
4017,2020-03-17,Liechtenstein,0,0,7,0
4018,2020-03-18,Liechtenstein,0,0,7,0
4019,2020-03-19,Liechtenstein,18,0,25,0
4020,2020-03-20,Liechtenstein,0,0,25,0
4021,2020-03-21,Liechtenstein,9,0,34,0
4022,2020-03-22,Liechtenstein,2,0,36,0
4023,2020-03-23,Liechtenstein,10,0,46,0
4024,2020-03-24,Liechtenstein,0,0,46,0
4025,2020-03-25,Liechtenstein,1,0,47,0
4026,2020-03-26,Liechtenstein,4,0,51,0
4027,2020-03-27,Liechtenstein,5,0,56,0
4028,2020-03-28,Liechtenstein,4,0,60,0
