,date,location,new_cases,new_deaths,total_cases,total_deaths
4109,2019-12-31,Luxembourg,0,0,0,0
4110,2020-01-01,Luxembourg,0,0,0,0
4111,2020-01-02,Luxembourg,0,0,0,0
4112,2020-01-03,Luxembourg,0,0,0,0
4113,2020-01-04,Luxembourg,0,0,0,0
4114,2020-01-05,Luxembourg,0,0,0,0
4115,2020-01-06,Luxembourg,0,0,0,0
4116,2020-01-07,Luxembourg,0,0,0,0
4117,2020-01-08,Luxembourg,0,0,0,0
4118,2020-01-09,Luxembourg,0,0,0,0
4119,2020-01-10,Luxembourg,0,0,0,0
4120,2020-01-11,Luxembourg,0,0,0,0
4121,2020-01-12,Luxembourg,0,0,0,0
4122,2020-01-13,Luxembourg,0,0,0,0
4123,2020-01-14,Luxembourg,0,0,0,0
4124,2020-01-15,Luxembourg,0,0,0,0
4125,2020-01-16,Luxembourg,0,0,0,0
4126,2020-01-17,Luxembourg,0,0,0,0
4127,2020-01-18,Luxembourg,0,0,0,0
4128,2020-01-19,Luxembourg,0,0,0,0
4129,2020-01-20,Luxembourg,0,0,0,0
4130,2020-01-21,Luxembourg,0,0,0,0
4131,2020-01-22,Luxembourg,0,0,0,0
4132,2020-01-23,Luxembourg,0,0,0,0
4133,2020-01-24,Luxembourg,0,0,0,0
4134,2020-01-25,Luxembourg,0,0,0,0
4135,2020-01-26,Luxembourg,0,0,0,0
4136,2020-01-27,Luxembourg,0,0,0,0
4137,2020-01-28,Luxembourg,0,0,0,0
4138,2020-01-29,Luxembourg,0,0,0,0
4139,2020-01-30,Luxembourg,0,0,0,0
4140,2020-01-31,Luxembourg,0,0,0,0
4141,2020-02-01,Luxembourg,0,0,0,0
4142,2020-02-02,Luxembourg,0,0,0,0
4143,2020-02-03,Luxembourg,0,0,0,0
4144,2020-02-04,Luxembourg,0,0,0,0
4145,2020-02-05,Luxembourg,0,0,0,0
4146,2020-02-06,Luxembourg,0,0,0,0
4147,2020-02-07,Luxembourg,0,0,0,0
4148,2020-02-08,Luxembourg,0,0,0,0
4149,2020-02-09,Luxembourg,0,0,0,0
4150,2020-02-10,Luxembourg,0,0,0,0
4151,2020-02-11,Luxembourg,0,0,0,0
4152,2020-02-12,Luxembourg,0,0,0,0
4153,2020-02-13,Luxembourg,0,0,0,0
4154,2020-02-14,Luxembourg,0,0,0,0
4155,2020-02-15,Luxembourg,0,0,0,0
4156,2020-02-16,Luxembourg,0,0,0,0
4157,2020-02-17,Luxembourg,0,0,0,0
4158,2020-02-18,Luxembourg,0,0,0,0
4159,2020-02-19,Luxembourg,0,0,0,0
4160,2020-02-20,Luxembourg,0,0,0,0
4161,2020-02-21,Luxembourg,0,0,0,0
4162,2020-02-22,Luxembourg,0,0,0,0
4163,2020-02-23,Luxembourg,0,0,0,0
4164,2020-02-24,Luxembourg,0,0,0,0
4165,2020-02-25,Luxembourg,0,0,0,0
4166,2020-02-26,Luxembourg,0,0,0,0
4167,2020-02-27,Luxembourg,0,0,0,0
4168,2020-02-28,Luxembourg,0,0,0,0
4169,2020-02-29,Luxembourg,0,0,0,0
4170,2020-03-01,Luxembourg,1,0,1,0
4171,2020-03-02,Luxembourg,0,0,1,0
4172,2020-03-07,Luxembourg,2,0,3,0
4173,2020-03-09,Luxembourg,2,0,5,0
4174,2020-03-11,Luxembourg,2,0,7,0
4175,2020-03-12,Luxembourg,0,0,7,0
4176,2020-03-13,Luxembourg,19,0,26,0
4177,2020-03-14,Luxembourg,12,1,38,1
4178,2020-03-16,Luxembourg,39,0,77,1
4179,2020-03-17,Luxembourg,4,0,81,1
4180,2020-03-18,Luxembourg,59,0,140,1
4181,2020-03-19,Luxembourg,70,1,210,2
4182,2020-03-20,Luxembourg,135,2,345,4
4183,2020-03-21,Luxembourg,139,1,484,5
4184,2020-03-22,Luxembourg,186,3,670,8
4185,2020-03-23,Luxembourg,128,0,798,8
4186,2020-03-24,Luxembourg,77,0,875,8
4187,2020-03-25,Luxembourg,224,0,1099,8
4188,2020-03-26,Luxembourg,234,0,1333,8
4189,2020-03-27,Luxembourg,120,1,1453,9
4190,2020-03-28,Luxembourg,152,6,1605,15
