,date,location,new_cases,new_deaths,total_cases,total_deaths
4367,2020-03-08,Maldives,2,0,2,0
4368,2020-03-09,Maldives,2,0,4,0
4369,2020-03-11,Maldives,2,0,6,0
4370,2020-03-12,Maldives,2,0,8,0
4371,2020-03-14,Maldives,1,0,9,0
4372,2020-03-15,Maldives,0,0,9,0
4373,2020-03-16,Maldives,4,0,13,0
4374,2020-03-17,Maldives,0,0,13,0
4375,2020-03-18,Maldives,0,0,13,0
4376,2020-03-19,Maldives,0,0,13,0
4377,2020-03-20,Maldives,0,0,13,0
4378,2020-03-21,Maldives,0,0,13,0
4379,2020-03-22,Maldives,0,0,13,0
4380,2020-03-23,Maldives,0,0,13,0
4381,2020-03-24,Maldives,0,0,13,0
4382,2020-03-25,Maldives,0,0,13,0
4383,2020-03-26,Maldives,0,0,13,0
4384,2020-03-27,Maldives,0,0,13,0
4385,2020-03-28,Maldives,1,0,14,0
