,date,location,new_cases,new_deaths,total_cases,total_deaths
4512,2020-03-08,Moldova,1,0,1,0
4513,2020-03-11,Moldova,2,0,3,0
4514,2020-03-12,Moldova,1,0,4,0
4515,2020-03-13,Moldova,2,0,6,0
4516,2020-03-14,Moldova,2,0,8,0
4517,2020-03-15,Moldova,12,0,20,0
4518,2020-03-16,Moldova,3,0,23,0
4519,2020-03-17,Moldova,6,0,29,0
4520,2020-03-18,Moldova,1,0,30,0
4521,2020-03-19,Moldova,6,1,36,1
4522,2020-03-20,Moldova,13,0,49,1
4523,2020-03-21,Moldova,17,0,66,1
4524,2020-03-22,Moldova,14,0,80,1
4525,2020-03-23,Moldova,14,0,94,1
4526,2020-03-24,Moldova,15,0,109,1
4527,2020-03-25,Moldova,16,0,125,1
4528,2020-03-26,Moldova,24,0,149,1
4529,2020-03-27,Moldova,28,0,177,1
4530,2020-03-28,Moldova,22,1,199,2
