,date,location,new_cases,new_deaths,total_cases,total_deaths
4671,2020-03-15,Namibia,2,0,2,0
4672,2020-03-16,Namibia,0,0,2,0
4673,2020-03-17,Namibia,0,0,2,0
4674,2020-03-18,Namibia,0,0,2,0
4675,2020-03-19,Namibia,0,0,2,0
4676,2020-03-20,Namibia,0,0,2,0
4677,2020-03-21,Namibia,1,0,3,0
4678,2020-03-22,Namibia,0,0,3,0
4679,2020-03-23,Namibia,0,0,3,0
4680,2020-03-24,Namibia,0,0,3,0
4681,2020-03-25,Namibia,0,0,3,0
4682,2020-03-26,Namibia,1,0,4,0
4683,2020-03-27,Namibia,4,0,8,0
4684,2020-03-28,Namibia,0,0,8,0
