,date,location,new_cases,new_deaths,total_cases,total_deaths
4761,2019-12-31,Netherlands,0,0,0,0
4762,2020-01-01,Netherlands,0,0,0,0
4763,2020-01-02,Netherlands,0,0,0,0
4764,2020-01-03,Netherlands,0,0,0,0
4765,2020-01-04,Netherlands,0,0,0,0
4766,2020-01-05,Netherlands,0,0,0,0
4767,2020-01-06,Netherlands,0,0,0,0
4768,2020-01-07,Netherlands,0,0,0,0
4769,2020-01-08,Netherlands,0,0,0,0
4770,2020-01-09,Netherlands,0,0,0,0
4771,2020-01-10,Netherlands,0,0,0,0
4772,2020-01-11,Netherlands,0,0,0,0
4773,2020-01-12,Netherlands,0,0,0,0
4774,2020-01-13,Netherlands,0,0,0,0
4775,2020-01-14,Netherlands,0,0,0,0
4776,2020-01-15,Netherlands,0,0,0,0
4777,2020-01-16,Netherlands,0,0,0,0
4778,2020-01-17,Netherlands,0,0,0,0
4779,2020-01-18,Netherlands,0,0,0,0
4780,2020-01-19,Netherlands,0,0,0,0
4781,2020-01-20,Netherlands,0,0,0,0
4782,2020-01-21,Netherlands,0,0,0,0
4783,2020-01-22,Netherlands,0,0,0,0
4784,2020-01-23,Netherlands,0,0,0,0
4785,2020-01-24,Netherlands,0,0,0,0
4786,2020-01-25,Netherlands,0,0,0,0
4787,2020-01-26,Netherlands,0,0,0,0
4788,2020-01-27,Netherlands,0,0,0,0
4789,2020-01-28,Netherlands,0,0,0,0
4790,2020-01-29,Netherlands,0,0,0,0
4791,2020-01-30,Netherlands,0,0,0,0
4792,2020-01-31,Netherlands,0,0,0,0
4793,2020-02-01,Netherlands,0,0,0,0
4794,2020-02-02,Netherlands,0,0,0,0
4795,2020-02-03,Netherlands,0,0,0,0
4796,2020-02-04,Netherlands,0,0,0,0
4797,2020-02-05,Netherlands,0,0,0,0
4798,2020-02-06,Netherlands,0,0,0,0
4799,2020-02-07,Netherlands,0,0,0,0
4800,2020-02-08,Netherlands,0,0,0,0
4801,2020-02-09,Netherlands,0,0,0,0
4802,2020-02-10,Netherlands,0,0,0,0
4803,2020-02-11,Netherlands,0,0,0,0
4804,2020-02-12,Netherlands,0,0,0,0
4805,2020-02-13,Netherlands,0,0,0,0
4806,2020-02-14,Netherlands,0,0,0,0
4807,2020-02-15,Netherlands,0,0,0,0
4808,2020-02-16,Netherlands,0,0,0,0
4809,2020-02-17,Netherlands,0,0,0,0
4810,2020-02-18,Netherlands,0,0,0,0
4811,2020-02-19,Netherlands,0,0,0,0
4812,2020-02-20,Netherlands,0,0,0,0
4813,2020-02-21,Netherlands,0,0,0,0
4814,2020-02-22,Netherlands,0,0,0,0
4815,2020-02-23,Netherlands,0,0,0,0
4816,2020-02-24,Netherlands,0,0,0,0
4817,2020-02-25,Netherlands,0,0,0,0
4818,2020-02-26,Netherlands,0,0,0,0
4819,2020-02-27,Netherlands,0,0,0,0
4820,2020-02-28,Netherlands,1,0,1,0
4821,2020-02-29,Netherlands,1,0,2,0
4822,2020-03-01,Netherlands,5,0,7,0
4823,2020-03-02,Netherlands,6,0,13,0
4824,2020-03-03,Netherlands,5,0,18,0
4825,2020-03-04,Netherlands,10,0,28,0
4826,2020-03-05,Netherlands,10,0,38,0
4827,2020-03-06,Netherlands,44,0,82,0
4828,2020-03-07,Netherlands,46,1,128,1
4829,2020-03-08,Netherlands,60,0,188,1
4830,2020-03-09,Netherlands,77,2,265,3
4831,2020-03-10,Netherlands,56,0,321,3
4832,2020-03-11,Netherlands,61,1,382,4
4833,2020-03-12,Netherlands,121,1,503,5
4834,2020-03-13,Netherlands,111,0,614,5
4835,2020-03-14,Netherlands,190,0,804,5
4836,2020-03-15,Netherlands,155,7,959,12
4837,2020-03-16,Netherlands,176,8,1135,20
4838,2020-03-17,Netherlands,278,4,1413,24
4839,2020-03-18,Netherlands,292,19,1705,43
4840,2020-03-19,Netherlands,346,15,2051,58
4841,2020-03-20,Netherlands,409,18,2460,76
4842,2020-03-21,Netherlands,534,30,2994,106
4843,2020-03-22,Netherlands,637,30,3631,136
4844,2020-03-23,Netherlands,573,43,4204,179
4845,2020-03-24,Netherlands,545,34,4749,213
4846,2020-03-25,Netherlands,811,63,5560,276
4847,2020-03-26,Netherlands,852,80,6412,356
4848,2020-03-27,Netherlands,1019,78,7431,434
4849,2020-03-28,Netherlands,1172,112,8603,546
