,date,location,new_cases,new_deaths,total_cases,total_deaths
4858,2019-12-31,New Zealand,0,0,0,0
4859,2020-01-01,New Zealand,0,0,0,0
4860,2020-01-02,New Zealand,0,0,0,0
4861,2020-01-03,New Zealand,0,0,0,0
4862,2020-01-04,New Zealand,0,0,0,0
4863,2020-01-05,New Zealand,0,0,0,0
4864,2020-01-06,New Zealand,0,0,0,0
4865,2020-01-07,New Zealand,0,0,0,0
4866,2020-01-08,New Zealand,0,0,0,0
4867,2020-01-09,New Zealand,0,0,0,0
4868,2020-01-10,New Zealand,0,0,0,0
4869,2020-01-11,New Zealand,0,0,0,0
4870,2020-01-12,New Zealand,0,0,0,0
4871,2020-01-13,New Zealand,0,0,0,0
4872,2020-01-14,New Zealand,0,0,0,0
4873,2020-01-15,New Zealand,0,0,0,0
4874,2020-01-16,New Zealand,0,0,0,0
4875,2020-01-17,New Zealand,0,0,0,0
4876,2020-01-18,New Zealand,0,0,0,0
4877,2020-01-19,New Zealand,0,0,0,0
4878,2020-01-20,New Zealand,0,0,0,0
4879,2020-01-21,New Zealand,0,0,0,0
4880,2020-01-22,New Zealand,0,0,0,0
4881,2020-01-23,New Zealand,0,0,0,0
4882,2020-01-24,New Zealand,0,0,0,0
4883,2020-01-25,New Zealand,0,0,0,0
4884,2020-01-26,New Zealand,0,0,0,0
4885,2020-01-27,New Zealand,0,0,0,0
4886,2020-01-28,New Zealand,0,0,0,0
4887,2020-01-29,New Zealand,0,0,0,0
4888,2020-01-30,New Zealand,0,0,0,0
4889,2020-01-31,New Zealand,0,0,0,0
4890,2020-02-01,New Zealand,0,0,0,0
4891,2020-02-02,New Zealand,0,0,0,0
4892,2020-02-03,New Zealand,0,0,0,0
4893,2020-02-04,New Zealand,0,0,0,0
4894,2020-02-05,New Zealand,0,0,0,0
4895,2020-02-06,New Zealand,0,0,0,0
4896,2020-02-07,New Zealand,0,0,0,0
4897,2020-02-08,New Zealand,0,0,0,0
4898,2020-02-09,New Zealand,0,0,0,0
4899,2020-02-10,New Zealand,0,0,0,0
4900,2020-02-11,New Zealand,0,0,0,0
4901,2020-02-12,New Zealand,0,0,0,0
4902,2020-02-13,New Zealand,0,0,0,0
4903,2020-02-14,New Zealand,0,0,0,0
4904,2020-02-15,New Zealand,0,0,0,0
4905,2020-02-16,New Zealand,0,0,0,0
4906,2020-02-17,New Zealand,0,0,0,0
4907,2020-02-18,New Zealand,0,0,0,0
4908,2020-02-19,New Zealand,0,0,0,0
4909,2020-02-20,New Zealand,0,0,0,0
4910,2020-02-21,New Zealand,0,0,0,0
4911,2020-02-22,New Zealand,0,0,0,0
4912,2020-02-23,New Zealand,0,0,0,0
4913,2020-02-24,New Zealand,0,0,0,0
4914,2020-02-25,New Zealand,0,0,0,0
4915,2020-02-26,New Zealand,0,0,0,0
4916,2020-02-27,New Zealand,0,0,0,0
4917,2020-02-28,New Zealand,1,0,1,0
4918,2020-02-29,New Zealand,0,0,1,0
4919,2020-03-01,New Zealand,0,0,1,0
4920,2020-03-02,New Zealand,0,0,1,0
4921,2020-03-04,New Zealand,1,0,2,0
4922,2020-03-05,New Zealand,1,0,3,0
4923,2020-03-06,New Zealand,1,0,4,0
4924,2020-03-07,New Zealand,1,0,5,0
4925,2020-03-14,New Zealand,1,0,6,0
4926,2020-03-15,New Zealand,2,0,8,0
4927,2020-03-18,New Zealand,12,0,20,0
4928,2020-03-19,New Zealand,8,0,28,0
4929,2020-03-20,New Zealand,11,0,39,0
4930,2020-03-21,New Zealand,14,0,53,0
4931,2020-03-22,New Zealand,13,0,66,0
4932,2020-03-23,New Zealand,36,0,102,0
4933,2020-03-24,New Zealand,40,0,142,0
4934,2020-03-25,New Zealand,47,0,189,0
4935,2020-03-26,New Zealand,94,0,283,0
4936,2020-03-27,New Zealand,55,0,338,0
4937,2020-03-28,New Zealand,78,0,416,0
