,date,location,new_cases,new_deaths,total_cases,total_deaths
5123,2019-12-31,Oman,0,0,0,0
5124,2020-01-01,Oman,0,0,0,0
5125,2020-01-02,Oman,0,0,0,0
5126,2020-01-03,Oman,0,0,0,0
5127,2020-01-04,Oman,0,0,0,0
5128,2020-01-05,Oman,0,0,0,0
5129,2020-01-06,Oman,0,0,0,0
5130,2020-01-07,Oman,0,0,0,0
5131,2020-01-08,Oman,0,0,0,0
5132,2020-01-09,Oman,0,0,0,0
5133,2020-01-10,Oman,0,0,0,0
5134,2020-01-11,Oman,0,0,0,0
5135,2020-01-12,Oman,0,0,0,0
5136,2020-01-13,Oman,0,0,0,0
5137,2020-01-14,Oman,0,0,0,0
5138,2020-01-15,Oman,0,0,0,0
5139,2020-01-16,Oman,0,0,0,0
5140,2020-01-17,Oman,0,0,0,0
5141,2020-01-18,Oman,0,0,0,0
5142,2020-01-19,Oman,0,0,0,0
5143,2020-01-20,Oman,0,0,0,0
5144,2020-01-21,Oman,0,0,0,0
5145,2020-01-22,Oman,0,0,0,0
5146,2020-01-23,Oman,0,0,0,0
5147,2020-01-24,Oman,0,0,0,0
5148,2020-01-25,Oman,0,0,0,0
5149,2020-01-26,Oman,0,0,0,0
5150,2020-01-27,Oman,0,0,0,0
5151,2020-01-28,Oman,0,0,0,0
5152,2020-01-29,Oman,0,0,0,0
5153,2020-01-30,Oman,0,0,0,0
5154,2020-01-31,Oman,0,0,0,0
5155,2020-02-01,Oman,0,0,0,0
5156,2020-02-02,Oman,0,0,0,0
5157,2020-02-03,Oman,0,0,0,0
5158,2020-02-04,Oman,0,0,0,0
5159,2020-02-05,Oman,0,0,0,0
5160,2020-02-06,Oman,0,0,0,0
5161,2020-02-07,Oman,0,0,0,0
5162,2020-02-08,Oman,0,0,0,0
5163,2020-02-09,Oman,0,0,0,0
5164,2020-02-10,Oman,0,0,0,0
5165,2020-02-11,Oman,0,0,0,0
5166,2020-02-12,Oman,0,0,0,0
5167,2020-02-13,Oman,0,0,0,0
5168,2020-02-14,Oman,0,0,0,0
5169,2020-02-15,Oman,0,0,0,0
5170,2020-02-16,Oman,0,0,0,0
5171,2020-02-17,Oman,0,0,0,0
5172,2020-02-18,Oman,0,0,0,0
5173,2020-02-19,Oman,0,0,0,0
5174,2020-02-20,Oman,0,0,0,0
5175,2020-02-21,Oman,0,0,0,0
5176,2020-02-22,Oman,0,0,0,0
5177,2020-02-23,Oman,0,0,0,0
5178,2020-02-24,Oman,0,0,0,0
5179,2020-02-25,Oman,2,0,2,0
5180,2020-02-26,Oman,2,0,4,0
5181,2020-02-27,Oman,0,0,4,0
5182,2020-02-28,Oman,2,0,6,0
5183,2020-02-29,Oman,0,0,6,0
5184,2020-03-01,Oman,0,0,6,0
5185,2020-03-02,Oman,0,0,6,0
5186,2020-03-03,Oman,1,0,7,0
5187,2020-03-05,Oman,8,0,15,0
5188,2020-03-06,Oman,1,0,16,0
5189,2020-03-10,Oman,2,0,18,0
5190,2020-03-11,Oman,0,0,18,0
5191,2020-03-14,Oman,2,0,20,0
5192,2020-03-15,Oman,0,0,20,0
5193,2020-03-16,Oman,2,0,22,0
5194,2020-03-17,Oman,2,0,24,0
5195,2020-03-18,Oman,0,0,24,0
5196,2020-03-19,Oman,15,0,39,0
5197,2020-03-20,Oman,0,0,39,0
5198,2020-03-21,Oman,9,0,48,0
5199,2020-03-22,Oman,4,0,52,0
5200,2020-03-23,Oman,3,0,55,0
5201,2020-03-24,Oman,11,0,66,0
5202,2020-03-25,Oman,18,0,84,0
5203,2020-03-26,Oman,15,0,99,0
5204,2020-03-27,Oman,10,0,109,0
5205,2020-03-28,Oman,22,0,131,0
