,date,location,new_cases,new_deaths,total_cases,total_deaths
5206,2019-12-31,Pakistan,0,0,0,0
5207,2020-01-01,Pakistan,0,0,0,0
5208,2020-01-02,Pakistan,0,0,0,0
5209,2020-01-03,Pakistan,0,0,0,0
5210,2020-01-04,Pakistan,0,0,0,0
5211,2020-01-05,Pakistan,0,0,0,0
5212,2020-01-06,Pakistan,0,0,0,0
5213,2020-01-07,Pakistan,0,0,0,0
5214,2020-01-08,Pakistan,0,0,0,0
5215,2020-01-09,Pakistan,0,0,0,0
5216,2020-01-10,Pakistan,0,0,0,0
5217,2020-01-11,Pakistan,0,0,0,0
5218,2020-01-12,Pakistan,0,0,0,0
5219,2020-01-13,Pakistan,0,0,0,0
5220,2020-01-14,Pakistan,0,0,0,0
5221,2020-01-15,Pakistan,0,0,0,0
5222,2020-01-16,Pakistan,0,0,0,0
5223,2020-01-17,Pakistan,0,0,0,0
5224,2020-01-18,Pakistan,0,0,0,0
5225,2020-01-19,Pakistan,0,0,0,0
5226,2020-01-20,Pakistan,0,0,0,0
5227,2020-01-21,Pakistan,0,0,0,0
5228,2020-01-22,Pakistan,0,0,0,0
5229,2020-01-23,Pakistan,0,0,0,0
5230,2020-01-24,Pakistan,0,0,0,0
5231,2020-01-25,Pakistan,0,0,0,0
5232,2020-01-26,Pakistan,0,0,0,0
5233,2020-01-27,Pakistan,0,0,0,0
5234,2020-01-28,Pakistan,0,0,0,0
5235,2020-01-29,Pakistan,0,0,0,0
5236,2020-01-30,Pakistan,0,0,0,0
5237,2020-01-31,Pakistan,0,0,0,0
5238,2020-02-01,Pakistan,0,0,0,0
5239,2020-02-02,Pakistan,0,0,0,0
5240,2020-02-03,Pakistan,0,0,0,0
5241,2020-02-04,Pakistan,0,0,0,0
5242,2020-02-05,Pakistan,0,0,0,0
5243,2020-02-06,Pakistan,0,0,0,0
5244,2020-02-07,Pakistan,0,0,0,0
5245,2020-02-08,Pakistan,0,0,0,0
5246,2020-02-09,Pakistan,0,0,0,0
5247,2020-02-10,Pakistan,0,0,0,0
5248,2020-02-11,Pakistan,0,0,0,0
5249,2020-02-12,Pakistan,0,0,0,0
5250,2020-02-13,Pakistan,0,0,0,0
5251,2020-02-14,Pakistan,0,0,0,0
5252,2020-02-15,Pakistan,0,0,0,0
5253,2020-02-16,Pakistan,0,0,0,0
5254,2020-02-17,Pakistan,0,0,0,0
5255,2020-02-18,Pakistan,0,0,0,0
5256,2020-02-19,Pakistan,0,0,0,0
5257,2020-02-20,Pakistan,0,0,0,0
5258,2020-02-21,Pakistan,0,0,0,0
5259,2020-02-22,Pakistan,0,0,0,0
5260,2020-02-23,Pakistan,0,0,0,0
5261,2020-02-24,Pakistan,0,0,0,0
5262,2020-02-25,Pakistan,0,0,0,0
5263,2020-02-26,Pakistan,0,0,0,0
5264,2020-02-27,Pakistan,2,0,2,0
5265,2020-02-28,Pakistan,0,0,2,0
5266,2020-02-29,Pakistan,0,0,2,0
5267,2020-03-01,Pakistan,2,0,4,0
5268,2020-03-02,Pakistan,0,0,4,0
5269,2020-03-04,Pakistan,1,0,5,0
5270,2020-03-07,Pakistan,1,0,6,0
5271,2020-03-10,Pakistan,10,0,16,0
5272,2020-03-11,Pakistan,0,0,16,0
5273,2020-03-12,Pakistan,4,0,20,0
5274,2020-03-13,Pakistan,1,0,21,0
5275,2020-03-14,Pakistan,0,0,21,0
5276,2020-03-15,Pakistan,9,0,30,0
5277,2020-03-16,Pakistan,1,0,31,0
5278,2020-03-17,Pakistan,156,0,187,0
5279,2020-03-18,Pakistan,0,0,187,0
5280,2020-03-19,Pakistan,115,0,302,0
5281,2020-03-20,Pakistan,176,2,478,2
5282,2020-03-21,Pakistan,17,1,495,3
5283,2020-03-22,Pakistan,151,0,646,3
5284,2020-03-23,Pakistan,138,2,784,5
5285,2020-03-24,Pakistan,103,1,887,6
5286,2020-03-25,Pakistan,104,1,991,7
5287,2020-03-26,Pakistan,66,1,1057,8
5288,2020-03-27,Pakistan,140,1,1197,9
5289,2020-03-28,Pakistan,0,0,1197,9
