,date,location,new_cases,new_deaths,total_cases,total_deaths
5290,2020-03-06,Palestine,7,0,7,0
5291,2020-03-07,Palestine,9,0,16,0
5292,2020-03-08,Palestine,3,0,19,0
5293,2020-03-10,Palestine,1,0,20,0
5294,2020-03-11,Palestine,9,0,29,0
5295,2020-03-12,Palestine,1,0,30,0
5296,2020-03-14,Palestine,5,0,35,0
5297,2020-03-15,Palestine,3,0,38,0
5298,2020-03-16,Palestine,0,0,38,0
5299,2020-03-17,Palestine,1,0,39,0
5300,2020-03-18,Palestine,2,0,41,0
5301,2020-03-19,Palestine,3,0,44,0
5302,2020-03-20,Palestine,3,0,47,0
5303,2020-03-21,Palestine,1,0,48,0
5304,2020-03-22,Palestine,4,0,52,0
5305,2020-03-23,Palestine,7,0,59,0
5306,2020-03-24,Palestine,0,0,59,0
5307,2020-03-25,Palestine,1,0,60,0
5308,2020-03-26,Palestine,2,0,62,0
5309,2020-03-27,Palestine,22,1,84,1
5310,2020-03-28,Palestine,7,0,91,1
