,date,location,new_cases,new_deaths,total_cases,total_deaths
5338,2020-03-08,Paraguay,1,0,1,0
5339,2020-03-11,Paraguay,4,0,5,0
5340,2020-03-13,Paraguay,1,0,6,0
5341,2020-03-14,Paraguay,1,0,7,0
5342,2020-03-16,Paraguay,1,0,8,0
5343,2020-03-17,Paraguay,1,0,9,0
5344,2020-03-18,Paraguay,2,0,11,0
5345,2020-03-19,Paraguay,0,0,11,0
5346,2020-03-20,Paraguay,2,0,13,0
5347,2020-03-21,Paraguay,5,1,18,1
5348,2020-03-22,Paraguay,4,0,22,1
5349,2020-03-23,Paraguay,0,0,22,1
5350,2020-03-24,Paraguay,5,0,27,1
5351,2020-03-25,Paraguay,10,2,37,3
5352,2020-03-26,Paraguay,4,0,41,3
5353,2020-03-27,Paraguay,11,0,52,3
5354,2020-03-28,Paraguay,4,0,56,3
