,date,location,new_cases,new_deaths,total_cases,total_deaths
5461,2020-03-04,Poland,1,0,1,0
5462,2020-03-07,Poland,4,0,5,0
5463,2020-03-08,Poland,1,0,6,0
5464,2020-03-09,Poland,5,0,11,0
5465,2020-03-10,Poland,6,0,17,0
5466,2020-03-11,Poland,5,0,22,0
5467,2020-03-12,Poland,9,0,31,0
5468,2020-03-13,Poland,18,1,49,1
5469,2020-03-14,Poland,19,1,68,2
5470,2020-03-15,Poland,36,1,104,3
5471,2020-03-16,Poland,21,0,125,3
5472,2020-03-17,Poland,52,1,177,4
5473,2020-03-18,Poland,61,1,238,5
5474,2020-03-19,Poland,49,0,287,5
5475,2020-03-20,Poland,68,0,355,5
5476,2020-03-21,Poland,70,0,425,5
5477,2020-03-22,Poland,111,0,536,5
5478,2020-03-23,Poland,98,2,634,7
5479,2020-03-24,Poland,115,1,749,8
5480,2020-03-25,Poland,152,2,901,10
5481,2020-03-26,Poland,150,4,1051,14
5482,2020-03-27,Poland,170,2,1221,16
5483,2020-03-28,Poland,168,0,1389,16
