,date,location,new_cases,new_deaths,total_cases,total_deaths
5511,2019-12-31,Qatar,0,0,0,0
5512,2020-01-01,Qatar,0,0,0,0
5513,2020-01-02,Qatar,0,0,0,0
5514,2020-01-03,Qatar,0,0,0,0
5515,2020-01-04,Qatar,0,0,0,0
5516,2020-01-05,Qatar,0,0,0,0
5517,2020-01-06,Qatar,0,0,0,0
5518,2020-01-07,Qatar,0,0,0,0
5519,2020-01-08,Qatar,0,0,0,0
5520,2020-01-09,Qatar,0,0,0,0
5521,2020-01-10,Qatar,0,0,0,0
5522,2020-01-11,Qatar,0,0,0,0
5523,2020-01-12,Qatar,0,0,0,0
5524,2020-01-13,Qatar,0,0,0,0
5525,2020-01-14,Qatar,0,0,0,0
5526,2020-01-15,Qatar,0,0,0,0
5527,2020-01-16,Qatar,0,0,0,0
5528,2020-01-17,Qatar,0,0,0,0
5529,2020-01-18,Qatar,0,0,0,0
5530,2020-01-19,Qatar,0,0,0,0
5531,2020-01-20,Qatar,0,0,0,0
5532,2020-01-21,Qatar,0,0,0,0
5533,2020-01-22,Qatar,0,0,0,0
5534,2020-01-23,Qatar,0,0,0,0
5535,2020-01-24,Qatar,0,0,0,0
5536,2020-01-25,Qatar,0,0,0,0
5537,2020-01-26,Qatar,0,0,0,0
5538,2020-01-27,Qatar,0,0,0,0
5539,2020-01-28,Qatar,0,0,0,0
5540,2020-01-29,Qatar,0,0,0,0
5541,2020-01-30,Qatar,0,0,0,0
5542,2020-01-31,Qatar,0,0,0,0
5543,2020-02-01,Qatar,0,0,0,0
5544,2020-02-02,Qatar,0,0,0,0
5545,2020-02-03,Qatar,0,0,0,0
5546,2020-02-04,Qatar,0,0,0,0
5547,2020-02-05,Qatar,0,0,0,0
5548,2020-02-06,Qatar,0,0,0,0
5549,2020-02-07,Qatar,0,0,0,0
5550,2020-02-08,Qatar,0,0,0,0
5551,2020-02-09,Qatar,0,0,0,0
5552,2020-02-10,Qatar,0,0,0,0
5553,2020-02-11,Qatar,0,0,0,0
5554,2020-02-12,Qatar,0,0,0,0
5555,2020-02-13,Qatar,0,0,0,0
5556,2020-02-14,Qatar,0,0,0,0
5557,2020-02-15,Qatar,0,0,0,0
5558,2020-02-16,Qatar,0,0,0,0
5559,2020-02-17,Qatar,0,0,0,0
5560,2020-02-18,Qatar,0,0,0,0
5561,2020-02-19,Qatar,0,0,0,0
5562,2020-02-20,Qatar,0,0,0,0
5563,2020-02-21,Qatar,0,0,0,0
5564,2020-02-22,Qatar,0,0,0,0
5565,2020-02-23,Qatar,0,0,0,0
5566,2020-02-24,Qatar,0,0,0,0
5567,2020-02-25,Qatar,0,0,0,0
5568,2020-02-26,Qatar,0,0,0,0
5569,2020-02-27,Qatar,0,0,0,0
5570,2020-02-28,Qatar,0,0,0,0
5571,2020-02-29,Qatar,0,0,0,0
5572,2020-03-01,Qatar,1,0,1,0
5573,2020-03-02,Qatar,2,0,3,0
5574,2020-03-04,Qatar,5,0,8,0
5575,2020-03-07,Qatar,3,0,11,0
5576,2020-03-08,Qatar,1,0,12,0
5577,2020-03-09,Qatar,3,0,15,0
5578,2020-03-10,Qatar,3,0,18,0
5579,2020-03-11,Qatar,6,0,24,0
5580,2020-03-12,Qatar,238,0,262,0
5581,2020-03-14,Qatar,58,0,320,0
5582,2020-03-15,Qatar,17,0,337,0
5583,2020-03-16,Qatar,64,0,401,0
5584,2020-03-17,Qatar,38,0,439,0
5585,2020-03-18,Qatar,3,0,442,0
5586,2020-03-19,Qatar,10,0,452,0
5587,2020-03-20,Qatar,8,0,460,0
5588,2020-03-21,Qatar,10,0,470,0
5589,2020-03-22,Qatar,11,0,481,0
5590,2020-03-23,Qatar,13,0,494,0
5591,2020-03-24,Qatar,7,0,501,0
5592,2020-03-25,Qatar,25,0,526,0
5593,2020-03-26,Qatar,11,0,537,0
5594,2020-03-27,Qatar,12,0,549,0
5595,2020-03-28,Qatar,13,0,562,0
