,date,location,new_cases,new_deaths,total_cases,total_deaths
5683,2019-12-31,Russia,0,0,0,0
5684,2020-01-01,Russia,0,0,0,0
5685,2020-01-02,Russia,0,0,0,0
5686,2020-01-03,Russia,0,0,0,0
5687,2020-01-04,Russia,0,0,0,0
5688,2020-01-05,Russia,0,0,0,0
5689,2020-01-06,Russia,0,0,0,0
5690,2020-01-07,Russia,0,0,0,0
5691,2020-01-08,Russia,0,0,0,0
5692,2020-01-09,Russia,0,0,0,0
5693,2020-01-10,Russia,0,0,0,0
5694,2020-01-11,Russia,0,0,0,0
5695,2020-01-12,Russia,0,0,0,0
5696,2020-01-13,Russia,0,0,0,0
5697,2020-01-14,Russia,0,0,0,0
5698,2020-01-15,Russia,0,0,0,0
5699,2020-01-16,Russia,0,0,0,0
5700,2020-01-17,Russia,0,0,0,0
5701,2020-01-18,Russia,0,0,0,0
5702,2020-01-19,Russia,0,0,0,0
5703,2020-01-20,Russia,0,0,0,0
5704,2020-01-21,Russia,0,0,0,0
5705,2020-01-22,Russia,0,0,0,0
5706,2020-01-23,Russia,0,0,0,0
5707,2020-01-24,Russia,0,0,0,0
5708,2020-01-25,Russia,0,0,0,0
5709,2020-01-26,Russia,0,0,0,0
5710,2020-01-27,Russia,0,0,0,0
5711,2020-01-28,Russia,0,0,0,0
5712,2020-01-29,Russia,0,0,0,0
5713,2020-01-30,Russia,0,0,0,0
5714,2020-01-31,Russia,0,0,0,0
5715,2020-02-01,Russia,2,0,2,0
5716,2020-02-02,Russia,0,0,2,0
5717,2020-02-03,Russia,0,0,2,0
5718,2020-02-04,Russia,0,0,2,0
5719,2020-02-05,Russia,0,0,2,0
5720,2020-02-06,Russia,0,0,2,0
5721,2020-02-07,Russia,0,0,2,0
5722,2020-02-08,Russia,0,0,2,0
5723,2020-02-09,Russia,0,0,2,0
5724,2020-02-10,Russia,0,0,2,0
5725,2020-02-11,Russia,0,0,2,0
5726,2020-02-12,Russia,0,0,2,0
5727,2020-02-13,Russia,0,0,2,0
5728,2020-02-14,Russia,0,0,2,0
5729,2020-02-15,Russia,0,0,2,0
5730,2020-02-16,Russia,0,0,2,0
5731,2020-02-17,Russia,0,0,2,0
5732,2020-02-18,Russia,0,0,2,0
5733,2020-02-19,Russia,0,0,2,0
5734,2020-02-20,Russia,0,0,2,0
5735,2020-02-21,Russia,0,0,2,0
5736,2020-02-22,Russia,0,0,2,0
5737,2020-02-23,Russia,0,0,2,0
5738,2020-02-24,Russia,0,0,2,0
5739,2020-02-25,Russia,0,0,2,0
5740,2020-02-26,Russia,0,0,2,0
5741,2020-02-27,Russia,0,0,2,0
5742,2020-02-28,Russia,0,0,2,0
5743,2020-02-29,Russia,0,0,2,0
5744,2020-03-01,Russia,0,0,2,0
5745,2020-03-02,Russia,0,0,2,0
5746,2020-03-03,Russia,1,0,3,0
5747,2020-03-04,Russia,1,0,4,0
5748,2020-03-07,Russia,6,0,10,0
5749,2020-03-10,Russia,0,0,10,0
5750,2020-03-12,Russia,15,0,25,0
5751,2020-03-13,Russia,5,0,30,0
5752,2020-03-14,Russia,15,0,45,0
5753,2020-03-15,Russia,14,0,59,0
5754,2020-03-16,Russia,4,0,63,0
5755,2020-03-17,Russia,30,0,93,0
5756,2020-03-18,Russia,21,0,114,0
5757,2020-03-19,Russia,33,0,147,0
5758,2020-03-20,Russia,52,0,199,0
5759,2020-03-21,Russia,54,0,253,0
5760,2020-03-22,Russia,53,0,306,0
5761,2020-03-23,Russia,132,0,438,0
5762,2020-03-24,Russia,0,0,438,0
5763,2020-03-25,Russia,57,0,495,0
5764,2020-03-26,Russia,163,0,658,0
5765,2020-03-27,Russia,182,2,840,2
5766,2020-03-28,Russia,196,2,1036,4
