,date,location,new_cases,new_deaths,total_cases,total_deaths
5784,2020-03-15,Saint Lucia,2,0,2,0
5785,2020-03-16,Saint Lucia,0,0,2,0
5786,2020-03-17,Saint Lucia,0,0,2,0
5787,2020-03-18,Saint Lucia,0,0,2,0
5788,2020-03-19,Saint Lucia,0,0,2,0
5789,2020-03-20,Saint Lucia,0,0,2,0
5790,2020-03-21,Saint Lucia,0,0,2,0
5791,2020-03-22,Saint Lucia,0,0,2,0
5792,2020-03-23,Saint Lucia,0,0,2,0
5793,2020-03-24,Saint Lucia,0,0,2,0
5794,2020-03-25,Saint Lucia,0,0,2,0
5795,2020-03-26,Saint Lucia,1,0,3,0
5796,2020-03-27,Saint Lucia,0,0,3,0
5797,2020-03-28,Saint Lucia,0,0,3,0
