,date,location,new_cases,new_deaths,total_cases,total_deaths
5803,2019-12-31,San Marino,0,0,0,0
5804,2020-01-01,San Marino,0,0,0,0
5805,2020-01-02,San Marino,0,0,0,0
5806,2020-01-03,San Marino,0,0,0,0
5807,2020-01-04,San Marino,0,0,0,0
5808,2020-01-05,San Marino,0,0,0,0
5809,2020-01-06,San Marino,0,0,0,0
5810,2020-01-07,San Marino,0,0,0,0
5811,2020-01-08,San Marino,0,0,0,0
5812,2020-01-09,San Marino,0,0,0,0
5813,2020-01-10,San Marino,0,0,0,0
5814,2020-01-11,San Marino,0,0,0,0
5815,2020-01-12,San Marino,0,0,0,0
5816,2020-01-13,San Marino,0,0,0,0
5817,2020-01-14,San Marino,0,0,0,0
5818,2020-01-15,San Marino,0,0,0,0
5819,2020-01-16,San Marino,0,0,0,0
5820,2020-01-17,San Marino,0,0,0,0
5821,2020-01-18,San Marino,0,0,0,0
5822,2020-01-19,San Marino,0,0,0,0
5823,2020-01-20,San Marino,0,0,0,0
5824,2020-01-21,San Marino,0,0,0,0
5825,2020-01-22,San Marino,0,0,0,0
5826,2020-01-23,San Marino,0,0,0,0
5827,2020-01-24,San Marino,0,0,0,0
5828,2020-01-25,San Marino,0,0,0,0
5829,2020-01-26,San Marino,0,0,0,0
5830,2020-01-27,San Marino,0,0,0,0
5831,2020-01-28,San Marino,0,0,0,0
5832,2020-01-29,San Marino,0,0,0,0
5833,2020-01-30,San Marino,0,0,0,0
5834,2020-01-31,San Marino,0,0,0,0
5835,2020-02-01,San Marino,0,0,0,0
5836,2020-02-02,San Marino,0,0,0,0
5837,2020-02-03,San Marino,0,0,0,0
5838,2020-02-04,San Marino,0,0,0,0
5839,2020-02-05,San Marino,0,0,0,0
5840,2020-02-06,San Marino,0,0,0,0
5841,2020-02-07,San Marino,0,0,0,0
5842,2020-02-08,San Marino,0,0,0,0
5843,2020-02-09,San Marino,0,0,0,0
5844,2020-02-10,San Marino,0,0,0,0
5845,2020-02-11,San Marino,0,0,0,0
5846,2020-02-12,San Marino,0,0,0,0
5847,2020-02-13,San Marino,0,0,0,0
5848,2020-02-14,San Marino,0,0,0,0
5849,2020-02-15,San Marino,0,0,0,0
5850,2020-02-16,San Marino,0,0,0,0
5851,2020-02-17,San Marino,0,0,0,0
5852,2020-02-18,San Marino,0,0,0,0
5853,2020-02-19,San Marino,0,0,0,0
5854,2020-02-20,San Marino,0,0,0,0
5855,2020-02-21,San Marino,0,0,0,0
5856,2020-02-22,San Marino,0,0,0,0
5857,2020-02-23,San Marino,0,0,0,0
5858,2020-02-24,San Marino,0,0,0,0
5859,2020-02-25,San Marino,0,0,0,0
5860,2020-02-26,San Marino,0,0,0,0
5861,2020-02-27,San Marino,0,0,0,0
5862,2020-02-28,San Marino,1,0,1,0
5863,2020-02-29,San Marino,0,0,1,0
5864,2020-03-01,San Marino,0,0,1,0
5865,2020-03-02,San Marino,7,1,8,1
5866,2020-03-04,San Marino,2,0,10,1
5867,2020-03-05,San Marino,5,0,15,1
5868,2020-03-06,San Marino,7,0,22,1
5869,2020-03-07,San Marino,1,0,23,1
5870,2020-03-08,San Marino,3,0,26,1
5871,2020-03-09,San Marino,11,0,37,1
5872,2020-03-10,San Marino,12,1,49,2
5873,2020-03-11,San Marino,13,0,62,2
5874,2020-03-12,San Marino,4,1,66,3
5875,2020-03-13,San Marino,1,2,67,5
5876,2020-03-14,San Marino,6,0,73,5
5877,2020-03-15,San Marino,19,0,92,5
5878,2020-03-16,San Marino,6,2,98,7
5879,2020-03-17,San Marino,4,2,102,9
5880,2020-03-18,San Marino,2,2,104,11
5881,2020-03-19,San Marino,5,3,109,14
5882,2020-03-20,San Marino,17,0,126,14
5883,2020-03-21,San Marino,25,0,151,14
5884,2020-03-22,San Marino,0,6,151,20
5885,2020-03-23,San Marino,0,0,151,20
5886,2020-03-24,San Marino,36,0,187,20
5887,2020-03-25,San Marino,0,1,187,21
5888,2020-03-26,San Marino,21,0,208,21
5889,2020-03-27,San Marino,10,0,218,21
5890,2020-03-28,San Marino,5,0,223,21
