,date,location,new_cases,new_deaths,total_cases,total_deaths
5952,2020-03-15,Seychelles,2,0,2,0
5953,2020-03-16,Seychelles,1,0,3,0
5954,2020-03-17,Seychelles,1,0,4,0
5955,2020-03-18,Seychelles,0,0,4,0
5956,2020-03-19,Seychelles,2,0,6,0
5957,2020-03-20,Seychelles,0,0,6,0
5958,2020-03-21,Seychelles,1,0,7,0
5959,2020-03-22,Seychelles,0,0,7,0
5960,2020-03-23,Seychelles,0,0,7,0
5961,2020-03-24,Seychelles,0,0,7,0
5962,2020-03-25,Seychelles,0,0,7,0
5963,2020-03-26,Seychelles,0,0,7,0
5964,2020-03-27,Seychelles,0,0,7,0
5965,2020-03-28,Seychelles,0,0,7,0
