,date,location,new_cases,new_deaths,total_cases,total_deaths
5966,2019-12-31,Singapore,0,0,0,0
5967,2020-01-01,Singapore,0,0,0,0
5968,2020-01-02,Singapore,0,0,0,0
5969,2020-01-03,Singapore,0,0,0,0
5970,2020-01-04,Singapore,0,0,0,0
5971,2020-01-05,Singapore,0,0,0,0
5972,2020-01-06,Singapore,0,0,0,0
5973,2020-01-07,Singapore,0,0,0,0
5974,2020-01-08,Singapore,0,0,0,0
5975,2020-01-09,Singapore,0,0,0,0
5976,2020-01-10,Singapore,0,0,0,0
5977,2020-01-11,Singapore,0,0,0,0
5978,2020-01-12,Singapore,0,0,0,0
5979,2020-01-13,Singapore,0,0,0,0
5980,2020-01-14,Singapore,0,0,0,0
5981,2020-01-15,Singapore,0,0,0,0
5982,2020-01-16,Singapore,0,0,0,0
5983,2020-01-17,Singapore,0,0,0,0
5984,2020-01-18,Singapore,0,0,0,0
5985,2020-01-19,Singapore,0,0,0,0
5986,2020-01-20,Singapore,0,0,0,0
5987,2020-01-21,Singapore,0,0,0,0
5988,2020-01-22,Singapore,0,0,0,0
5989,2020-01-23,Singapore,0,0,0,0
5990,2020-01-24,Singapore,3,0,3,0
5991,2020-01-25,Singapore,0,0,3,0
5992,2020-01-26,Singapore,1,0,4,0
5993,2020-01-27,Singapore,0,0,4,0
5994,2020-01-28,Singapore,1,0,5,0
5995,2020-01-29,Singapore,2,0,7,0
5996,2020-01-30,Singapore,3,0,10,0
5997,2020-01-31,Singapore,3,0,13,0
5998,2020-02-01,Singapore,3,0,16,0
5999,2020-02-02,Singapore,2,0,18,0
6000,2020-02-03,Singapore,0,0,18,0
6001,2020-02-04,Singapore,0,0,18,0
6002,2020-02-05,Singapore,6,0,24,0
6003,2020-02-06,Singapore,4,0,28,0
6004,2020-02-07,Singapore,2,0,30,0
6005,2020-02-08,Singapore,3,0,33,0
6006,2020-02-09,Singapore,7,0,40,0
6007,2020-02-10,Singapore,3,0,43,0
6008,2020-02-11,Singapore,2,0,45,0
6009,2020-02-12,Singapore,2,0,47,0
6010,2020-02-13,Singapore,3,0,50,0
6011,2020-02-14,Singapore,8,0,58,0
6012,2020-02-15,Singapore,9,0,67,0
6013,2020-02-16,Singapore,5,0,72,0
6014,2020-02-17,Singapore,3,0,75,0
6015,2020-02-18,Singapore,2,0,77,0
6016,2020-02-19,Singapore,4,0,81,0
6017,2020-02-20,Singapore,3,0,84,0
6018,2020-02-21,Singapore,1,0,85,0
6019,2020-02-22,Singapore,1,0,86,0
6020,2020-02-23,Singapore,3,0,89,0
6021,2020-02-24,Singapore,0,0,89,0
6022,2020-02-25,Singapore,1,0,90,0
6023,2020-02-26,Singapore,1,0,91,0
6024,2020-02-27,Singapore,2,0,93,0
6025,2020-02-28,Singapore,3,0,96,0
6026,2020-02-29,Singapore,2,0,98,0
6027,2020-03-01,Singapore,4,0,102,0
6028,2020-03-02,Singapore,4,0,106,0
6029,2020-03-03,Singapore,2,0,108,0
6030,2020-03-04,Singapore,2,0,110,0
6031,2020-03-05,Singapore,2,0,112,0
6032,2020-03-06,Singapore,5,0,117,0
6033,2020-03-07,Singapore,13,0,130,0
6034,2020-03-08,Singapore,8,0,138,0
6035,2020-03-09,Singapore,12,0,150,0
6036,2020-03-10,Singapore,10,0,160,0
6037,2020-03-11,Singapore,6,0,166,0
6038,2020-03-12,Singapore,12,0,178,0
6039,2020-03-13,Singapore,9,0,187,0
6040,2020-03-14,Singapore,13,0,200,0
6041,2020-03-15,Singapore,14,0,214,0
6042,2020-03-16,Singapore,12,0,226,0
6043,2020-03-17,Singapore,17,0,243,0
6044,2020-03-18,Singapore,23,0,266,0
6045,2020-03-19,Singapore,47,0,313,0
6046,2020-03-20,Singapore,32,0,345,0
6047,2020-03-21,Singapore,40,0,385,0
6048,2020-03-22,Singapore,47,2,432,2
6049,2020-03-23,Singapore,23,0,455,2
6050,2020-03-24,Singapore,54,0,509,2
6051,2020-03-25,Singapore,49,0,558,2
6052,2020-03-26,Singapore,10,0,568,2
6053,2020-03-27,Singapore,26,0,594,2
6054,2020-03-28,Singapore,138,0,732,2
