,date,location,new_cases,new_deaths,total_cases,total_deaths
6080,2020-03-05,Slovenia,1,0,1,0
6081,2020-03-06,Slovenia,5,0,6,0
6082,2020-03-07,Slovenia,3,0,9,0
6083,2020-03-08,Slovenia,3,0,12,0
6084,2020-03-09,Slovenia,4,0,16,0
6085,2020-03-11,Slovenia,15,0,31,0
6086,2020-03-12,Slovenia,26,0,57,0
6087,2020-03-13,Slovenia,39,0,96,0
6088,2020-03-14,Slovenia,45,0,141,0
6089,2020-03-15,Slovenia,40,0,181,0
6090,2020-03-16,Slovenia,38,0,219,0
6091,2020-03-17,Slovenia,34,0,253,0
6092,2020-03-18,Slovenia,22,1,275,1
6093,2020-03-19,Slovenia,11,0,286,1
6094,2020-03-20,Slovenia,33,0,319,1
6095,2020-03-21,Slovenia,22,0,341,1
6096,2020-03-22,Slovenia,42,0,383,1
6097,2020-03-23,Slovenia,31,0,414,1
6098,2020-03-24,Slovenia,28,0,442,1
6099,2020-03-25,Slovenia,38,2,480,3
6100,2020-03-26,Slovenia,48,1,528,4
6101,2020-03-27,Slovenia,49,1,577,5
6102,2020-03-28,Slovenia,55,4,632,9
