,date,location,new_cases,new_deaths,total_cases,total_deaths
6115,2020-03-06,South Africa,1,0,1,0
6116,2020-03-08,South Africa,1,0,2,0
6117,2020-03-09,South Africa,1,0,3,0
6118,2020-03-10,South Africa,4,0,7,0
6119,2020-03-12,South Africa,6,0,13,0
6120,2020-03-13,South Africa,4,0,17,0
6121,2020-03-14,South Africa,7,0,24,0
6122,2020-03-15,South Africa,0,0,24,0
6123,2020-03-16,South Africa,27,0,51,0
6124,2020-03-17,South Africa,11,0,62,0
6125,2020-03-18,South Africa,23,0,85,0
6126,2020-03-19,South Africa,31,0,116,0
6127,2020-03-20,South Africa,34,0,150,0
6128,2020-03-21,South Africa,55,0,205,0
6129,2020-03-22,South Africa,35,0,240,0
6130,2020-03-23,South Africa,34,0,274,0
6131,2020-03-24,South Africa,128,0,402,0
6132,2020-03-25,South Africa,155,0,557,0
6133,2020-03-26,South Africa,152,0,709,0
6134,2020-03-27,South Africa,218,2,927,2
6135,2020-03-28,South Africa,243,0,1170,2
