,date,location,new_cases,new_deaths,total_cases,total_deaths
6136,2019-12-31,South Korea,0,0,0,0
6137,2020-01-01,South Korea,0,0,0,0
6138,2020-01-02,South Korea,0,0,0,0
6139,2020-01-03,South Korea,0,0,0,0
6140,2020-01-04,South Korea,0,0,0,0
6141,2020-01-05,South Korea,0,0,0,0
6142,2020-01-06,South Korea,0,0,0,0
6143,2020-01-07,South Korea,0,0,0,0
6144,2020-01-08,South Korea,0,0,0,0
6145,2020-01-09,South Korea,0,0,0,0
6146,2020-01-10,South Korea,0,0,0,0
6147,2020-01-11,South Korea,0,0,0,0
6148,2020-01-12,South Korea,0,0,0,0
6149,2020-01-13,South Korea,0,0,0,0
6150,2020-01-14,South Korea,0,0,0,0
6151,2020-01-15,South Korea,0,0,0,0
6152,2020-01-16,South Korea,0,0,0,0
6153,2020-01-17,South Korea,0,0,0,0
6154,2020-01-18,South Korea,0,0,0,0
6155,2020-01-19,South Korea,0,0,0,0
6156,2020-01-20,South Korea,1,0,1,0
6157,2020-01-21,South Korea,0,0,1,0
6158,2020-01-22,South Korea,0,0,1,0
6159,2020-01-23,South Korea,0,0,1,0
6160,2020-01-24,South Korea,1,0,2,0
6161,2020-01-25,South Korea,0,0,2,0
6162,2020-01-26,South Korea,1,0,3,0
6163,2020-01-27,South Korea,1,0,4,0
6164,2020-01-28,South Korea,0,0,4,0
6165,2020-01-29,South Korea,0,0,4,0
6166,2020-01-30,South Korea,0,0,4,0
6167,2020-01-31,South Korea,3,0,7,0
6168,2020-02-01,South Korea,5,0,12,0
6169,2020-02-02,South Korea,3,0,15,0
6170,2020-02-03,South Korea,0,0,15,0
6171,2020-02-04,South Korea,1,0,16,0
6172,2020-02-05,South Korea,2,0,18,0
6173,2020-02-06,South Korea,5,0,23,0
6174,2020-02-07,South Korea,1,0,24,0
6175,2020-02-08,South Korea,0,0,24,0
6176,2020-02-09,South Korea,1,0,25,0
6177,2020-02-10,South Korea,2,0,27,0
6178,2020-02-11,South Korea,1,0,28,0
6179,2020-02-12,South Korea,0,0,28,0
6180,2020-02-13,South Korea,0,0,28,0
6181,2020-02-14,South Korea,0,0,28,0
6182,2020-02-15,South Korea,0,0,28,0
6183,2020-02-16,South Korea,1,0,29,0
6184,2020-02-17,South Korea,1,0,30,0
6185,2020-02-18,South Korea,1,0,31,0
6186,2020-02-19,South Korea,15,0,46,0
6187,2020-02-20,South Korea,34,0,80,0
6188,2020-02-21,South Korea,75,1,155,1
6189,2020-02-22,South Korea,190,1,345,2
6190,2020-02-23,South Korea,256,3,601,5
6191,2020-02-24,South Korea,161,2,762,7
6192,2020-02-25,South Korea,130,1,892,8
6193,2020-02-26,South Korea,254,3,1146,11
6194,2020-02-27,South Korea,449,1,1595,12
6195,2020-02-28,South Korea,427,1,2022,13
6196,2020-02-29,South Korea,909,3,2931,16
6197,2020-03-01,South Korea,595,1,3526,17
6198,2020-03-02,South Korea,686,5,4212,22
6199,2020-03-03,South Korea,600,6,4812,28
6200,2020-03-04,South Korea,516,4,5328,32
6201,2020-03-05,South Korea,438,3,5766,35
6202,2020-03-06,South Korea,518,7,6284,42
6203,2020-03-07,South Korea,483,2,6767,44
6204,2020-03-08,South Korea,367,6,7134,50
6205,2020-03-09,South Korea,248,1,7382,51
6206,2020-03-10,South Korea,131,3,7513,54
6207,2020-03-11,South Korea,242,6,7755,60
6208,2020-03-12,South Korea,114,6,7869,66
6209,2020-03-13,South Korea,110,1,7979,67
6210,2020-03-14,South Korea,107,5,8086,72
6211,2020-03-15,South Korea,76,3,8162,75
6212,2020-03-16,South Korea,74,0,8236,75
6213,2020-03-17,South Korea,84,6,8320,81
6214,2020-03-18,South Korea,93,5,8413,86
6215,2020-03-19,South Korea,152,5,8565,91
6216,2020-03-20,South Korea,87,9,8652,100
6217,2020-03-21,South Korea,147,3,8799,103
6218,2020-03-22,South Korea,98,1,8897,104
6219,2020-03-23,South Korea,64,9,8961,113
6220,2020-03-24,South Korea,76,7,9037,120
6221,2020-03-25,South Korea,100,6,9137,126
6222,2020-03-26,South Korea,104,5,9241,131
6223,2020-03-27,South Korea,91,8,9332,139
6224,2020-03-28,South Korea,146,5,9478,144
