,date,location,new_cases,new_deaths,total_cases,total_deaths
6394,2020-03-14,Sudan,1,0,1,0
6395,2020-03-15,Sudan,0,1,1,1
6396,2020-03-16,Sudan,0,0,1,1
6397,2020-03-17,Sudan,0,0,1,1
6398,2020-03-18,Sudan,0,0,1,1
6399,2020-03-19,Sudan,1,0,2,1
6400,2020-03-20,Sudan,0,0,2,1
6401,2020-03-21,Sudan,0,0,2,1
6402,2020-03-22,Sudan,0,0,2,1
6403,2020-03-23,Sudan,0,0,2,1
6404,2020-03-24,Sudan,0,0,2,1
6405,2020-03-25,Sudan,1,0,3,1
6406,2020-03-26,Sudan,0,0,3,1
6407,2020-03-27,Sudan,0,0,3,1
6408,2020-03-28,Sudan,0,0,3,1
