,date,location,new_cases,new_deaths,total_cases,total_deaths
6432,2019-12-31,Sweden,0,0,0,0
6433,2020-01-01,Sweden,0,0,0,0
6434,2020-01-02,Sweden,0,0,0,0
6435,2020-01-03,Sweden,0,0,0,0
6436,2020-01-04,Sweden,0,0,0,0
6437,2020-01-05,Sweden,0,0,0,0
6438,2020-01-06,Sweden,0,0,0,0
6439,2020-01-07,Sweden,0,0,0,0
6440,2020-01-08,Sweden,0,0,0,0
6441,2020-01-09,Sweden,0,0,0,0
6442,2020-01-10,Sweden,0,0,0,0
6443,2020-01-11,Sweden,0,0,0,0
6444,2020-01-12,Sweden,0,0,0,0
6445,2020-01-13,Sweden,0,0,0,0
6446,2020-01-14,Sweden,0,0,0,0
6447,2020-01-15,Sweden,0,0,0,0
6448,2020-01-16,Sweden,0,0,0,0
6449,2020-01-17,Sweden,0,0,0,0
6450,2020-01-18,Sweden,0,0,0,0
6451,2020-01-19,Sweden,0,0,0,0
6452,2020-01-20,Sweden,0,0,0,0
6453,2020-01-21,Sweden,0,0,0,0
6454,2020-01-22,Sweden,0,0,0,0
6455,2020-01-23,Sweden,0,0,0,0
6456,2020-01-24,Sweden,0,0,0,0
6457,2020-01-25,Sweden,0,0,0,0
6458,2020-01-26,Sweden,0,0,0,0
6459,2020-01-27,Sweden,0,0,0,0
6460,2020-01-28,Sweden,0,0,0,0
6461,2020-01-29,Sweden,0,0,0,0
6462,2020-01-30,Sweden,0,0,0,0
6463,2020-01-31,Sweden,0,0,0,0
6464,2020-02-01,Sweden,1,0,1,0
6465,2020-02-02,Sweden,0,0,1,0
6466,2020-02-03,Sweden,0,0,1,0
6467,2020-02-04,Sweden,0,0,1,0
6468,2020-02-05,Sweden,0,0,1,0
6469,2020-02-06,Sweden,0,0,1,0
6470,2020-02-07,Sweden,0,0,1,0
6471,2020-02-08,Sweden,0,0,1,0
6472,2020-02-09,Sweden,0,0,1,0
6473,2020-02-10,Sweden,0,0,1,0
6474,2020-02-11,Sweden,0,0,1,0
6475,2020-02-12,Sweden,0,0,1,0
6476,2020-02-13,Sweden,0,0,1,0
6477,2020-02-14,Sweden,0,0,1,0
6478,2020-02-15,Sweden,0,0,1,0
6479,2020-02-16,Sweden,0,0,1,0
6480,2020-02-17,Sweden,0,0,1,0
6481,2020-02-18,Sweden,0,0,1,0
6482,2020-02-19,Sweden,0,0,1,0
6483,2020-02-20,Sweden,0,0,1,0
6484,2020-02-21,Sweden,0,0,1,0
6485,2020-02-22,Sweden,0,0,1,0
6486,2020-02-23,Sweden,0,0,1,0
6487,2020-02-24,Sweden,0,0,1,0
6488,2020-02-25,Sweden,0,0,1,0
6489,2020-02-26,Sweden,0,0,1,0
6490,2020-02-27,Sweden,1,0,2,0
6491,2020-02-28,Sweden,5,0,7,0
6492,2020-02-29,Sweden,5,0,12,0
6493,2020-03-01,Sweden,1,0,13,0
6494,2020-03-02,Sweden,1,0,14,0
6495,2020-03-03,Sweden,1,0,15,0
6496,2020-03-04,Sweden,9,0,24,0
6497,2020-03-05,Sweden,11,0,35,0
6498,2020-03-06,Sweden,26,0,61,0
6499,2020-03-07,Sweden,76,0,137,0
6500,2020-03-08,Sweden,24,0,161,0
6501,2020-03-09,Sweden,42,0,203,0
6502,2020-03-10,Sweden,45,0,248,0
6503,2020-03-11,Sweden,78,0,326,0
6504,2020-03-12,Sweden,136,1,462,1
6505,2020-03-13,Sweden,158,0,620,1
6506,2020-03-14,Sweden,155,0,775,1
6507,2020-03-15,Sweden,149,0,924,1
6508,2020-03-16,Sweden,108,2,1032,3
6509,2020-03-17,Sweden,89,4,1121,7
6510,2020-03-18,Sweden,46,1,1167,8
6511,2020-03-19,Sweden,134,2,1301,10
6512,2020-03-20,Sweden,122,0,1423,10
6513,2020-03-21,Sweden,200,6,1623,16
6514,2020-03-22,Sweden,123,4,1746,20
6515,2020-03-23,Sweden,160,1,1906,21
6516,2020-03-24,Sweden,110,4,2016,25
6517,2020-03-25,Sweden,256,11,2272,36
6518,2020-03-26,Sweden,238,6,2510,42
6519,2020-03-27,Sweden,296,24,2806,66
6520,2020-03-28,Sweden,240,26,3046,92
