,date,location,new_cases,new_deaths,total_cases,total_deaths
6616,2019-12-31,Taiwan,0,0,0,0
6617,2020-01-01,Taiwan,0,0,0,0
6618,2020-01-02,Taiwan,0,0,0,0
6619,2020-01-03,Taiwan,0,0,0,0
6620,2020-01-04,Taiwan,0,0,0,0
6621,2020-01-05,Taiwan,0,0,0,0
6622,2020-01-06,Taiwan,0,0,0,0
6623,2020-01-07,Taiwan,0,0,0,0
6624,2020-01-08,Taiwan,0,0,0,0
6625,2020-01-09,Taiwan,0,0,0,0
6626,2020-01-10,Taiwan,0,0,0,0
6627,2020-01-11,Taiwan,0,0,0,0
6628,2020-01-12,Taiwan,0,0,0,0
6629,2020-01-13,Taiwan,0,0,0,0
6630,2020-01-14,Taiwan,0,0,0,0
6631,2020-01-15,Taiwan,0,0,0,0
6632,2020-01-16,Taiwan,0,0,0,0
6633,2020-01-17,Taiwan,0,0,0,0
6634,2020-01-18,Taiwan,0,0,0,0
6635,2020-01-19,Taiwan,0,0,0,0
6636,2020-01-20,Taiwan,0,0,0,0
6637,2020-01-21,Taiwan,1,0,1,0
6638,2020-01-22,Taiwan,0,0,1,0
6639,2020-01-23,Taiwan,0,0,1,0
6640,2020-01-24,Taiwan,0,0,1,0
6641,2020-01-25,Taiwan,2,0,3,0
6642,2020-01-26,Taiwan,0,0,3,0
6643,2020-01-27,Taiwan,2,0,5,0
6644,2020-01-28,Taiwan,2,0,7,0
6645,2020-01-29,Taiwan,1,0,8,0
6646,2020-01-30,Taiwan,0,0,8,0
6647,2020-01-31,Taiwan,1,0,9,0
6648,2020-02-01,Taiwan,1,0,10,0
6649,2020-02-02,Taiwan,0,0,10,0
6650,2020-02-03,Taiwan,0,0,10,0
6651,2020-02-04,Taiwan,0,0,10,0
6652,2020-02-05,Taiwan,1,0,11,0
6653,2020-02-06,Taiwan,0,0,11,0
6654,2020-02-07,Taiwan,5,0,16,0
6655,2020-02-08,Taiwan,1,0,17,0
6656,2020-02-09,Taiwan,1,0,18,0
6657,2020-02-10,Taiwan,0,0,18,0
6658,2020-02-11,Taiwan,0,0,18,0
6659,2020-02-12,Taiwan,0,0,18,0
6660,2020-02-13,Taiwan,0,0,18,0
6661,2020-02-14,Taiwan,0,0,18,0
6662,2020-02-15,Taiwan,0,0,18,0
6663,2020-02-16,Taiwan,0,0,18,0
6664,2020-02-17,Taiwan,2,1,20,1
6665,2020-02-18,Taiwan,2,0,22,1
6666,2020-02-19,Taiwan,0,0,22,1
6667,2020-02-20,Taiwan,2,0,24,1
6668,2020-02-21,Taiwan,0,0,24,1
6669,2020-02-22,Taiwan,2,0,26,1
6670,2020-02-23,Taiwan,0,0,26,1
6671,2020-02-24,Taiwan,2,0,28,1
6672,2020-02-25,Taiwan,2,0,30,1
6673,2020-02-26,Taiwan,1,0,31,1
6674,2020-02-27,Taiwan,1,0,32,1
6675,2020-02-28,Taiwan,2,0,34,1
6676,2020-02-29,Taiwan,5,0,39,1
6677,2020-03-01,Taiwan,1,0,40,1
6678,2020-03-02,Taiwan,0,0,40,1
6679,2020-03-03,Taiwan,1,0,41,1
6680,2020-03-04,Taiwan,1,0,42,1
6681,2020-03-06,Taiwan,2,0,44,1
6682,2020-03-07,Taiwan,1,0,45,1
6683,2020-03-08,Taiwan,0,0,45,1
6684,2020-03-09,Taiwan,0,0,45,1
6685,2020-03-11,Taiwan,3,0,48,1
6686,2020-03-12,Taiwan,0,0,48,1
6687,2020-03-13,Taiwan,1,0,49,1
6688,2020-03-14,Taiwan,4,0,53,1
6689,2020-03-15,Taiwan,6,0,59,1
6690,2020-03-16,Taiwan,0,0,59,1
6691,2020-03-17,Taiwan,8,0,67,1
6692,2020-03-18,Taiwan,10,0,77,1
6693,2020-03-19,Taiwan,31,0,108,1
6694,2020-03-20,Taiwan,0,0,108,1
6695,2020-03-21,Taiwan,27,1,135,2
6696,2020-03-22,Taiwan,18,0,153,2
6697,2020-03-23,Taiwan,12,0,165,2
6698,2020-03-24,Taiwan,30,0,195,2
6699,2020-03-25,Taiwan,21,0,216,2
6700,2020-03-26,Taiwan,19,0,235,2
6701,2020-03-27,Taiwan,17,0,252,2
6702,2020-03-28,Taiwan,15,0,267,2
