,date,location,new_cases,new_deaths,total_cases,total_deaths
6804,2020-03-07,Togo,1,0,1,0
6805,2020-03-15,Togo,0,0,1,0
6806,2020-03-16,Togo,0,0,1,0
6807,2020-03-17,Togo,0,0,1,0
6808,2020-03-18,Togo,0,0,1,0
6809,2020-03-19,Togo,0,0,1,0
6810,2020-03-20,Togo,0,0,1,0
6811,2020-03-21,Togo,8,0,9,0
6812,2020-03-22,Togo,6,0,15,0
6813,2020-03-23,Togo,0,0,15,0
6814,2020-03-24,Togo,3,0,18,0
6815,2020-03-25,Togo,0,0,18,0
6816,2020-03-26,Togo,5,0,23,0
6817,2020-03-27,Togo,1,0,24,0
6818,2020-03-28,Togo,1,1,25,1
