,date,location,new_cases,new_deaths,total_cases,total_deaths
6819,2020-03-13,Trinidad and Tobago,1,0,1,0
6820,2020-03-14,Trinidad and Tobago,1,0,2,0
6821,2020-03-15,Trinidad and Tobago,0,0,2,0
6822,2020-03-16,Trinidad and Tobago,2,0,4,0
6823,2020-03-17,Trinidad and Tobago,1,0,5,0
6824,2020-03-18,Trinidad and Tobago,2,0,7,0
6825,2020-03-19,Trinidad and Tobago,2,0,9,0
6826,2020-03-20,Trinidad and Tobago,0,0,9,0
6827,2020-03-21,Trinidad and Tobago,0,0,9,0
6828,2020-03-22,Trinidad and Tobago,40,0,49,0
6829,2020-03-23,Trinidad and Tobago,1,0,50,0
6830,2020-03-24,Trinidad and Tobago,1,0,51,0
6831,2020-03-25,Trinidad and Tobago,6,0,57,0
6832,2020-03-26,Trinidad and Tobago,3,1,60,1
6833,2020-03-27,Trinidad and Tobago,5,0,65,1
6834,2020-03-28,Trinidad and Tobago,1,1,66,2
