,date,location,new_cases,new_deaths,total_cases,total_deaths
6835,2020-03-03,Tunisia,1,0,1,0
6836,2020-03-10,Tunisia,1,0,2,0
6837,2020-03-11,Tunisia,3,0,5,0
6838,2020-03-12,Tunisia,2,0,7,0
6839,2020-03-13,Tunisia,6,0,13,0
6840,2020-03-14,Tunisia,3,0,16,0
6841,2020-03-15,Tunisia,0,0,16,0
6842,2020-03-16,Tunisia,2,0,18,0
6843,2020-03-17,Tunisia,2,0,20,0
6844,2020-03-18,Tunisia,4,0,24,0
6845,2020-03-19,Tunisia,5,0,29,0
6846,2020-03-20,Tunisia,10,0,39,0
6847,2020-03-21,Tunisia,15,1,54,1
6848,2020-03-22,Tunisia,6,0,60,1
6849,2020-03-23,Tunisia,15,2,75,3
6850,2020-03-24,Tunisia,14,0,89,3
6851,2020-03-25,Tunisia,25,0,114,3
6852,2020-03-26,Tunisia,59,2,173,5
6853,2020-03-27,Tunisia,0,0,173,5
6854,2020-03-28,Tunisia,54,1,227,6
