,date,location,new_cases,new_deaths,total_cases,total_deaths
6881,2020-03-04,Ukraine,1,0,1,0
6882,2020-03-13,Ukraine,2,0,3,0
6883,2020-03-16,Ukraine,0,0,3,0
6884,2020-03-17,Ukraine,2,0,5,0
6885,2020-03-18,Ukraine,9,0,14,0
6886,2020-03-19,Ukraine,5,2,19,2
6887,2020-03-20,Ukraine,7,0,26,2
6888,2020-03-21,Ukraine,0,1,26,3
6889,2020-03-22,Ukraine,15,0,41,3
6890,2020-03-23,Ukraine,6,0,47,3
6891,2020-03-24,Ukraine,26,0,73,3
6892,2020-03-25,Ukraine,11,0,84,3
6893,2020-03-26,Ukraine,29,1,113,4
6894,2020-03-27,Ukraine,43,1,156,5
6895,2020-03-28,Ukraine,62,0,218,5
