,date,location,new_cases,new_deaths,total_cases,total_deaths
7068,2019-12-31,United States,0,0,0,0
7069,2020-01-01,United States,0,0,0,0
7070,2020-01-02,United States,0,0,0,0
7071,2020-01-03,United States,0,0,0,0
7072,2020-01-04,United States,0,0,0,0
7073,2020-01-05,United States,0,0,0,0
7074,2020-01-06,United States,0,0,0,0
7075,2020-01-07,United States,0,0,0,0
7076,2020-01-08,United States,0,0,0,0
7077,2020-01-09,United States,0,0,0,0
7078,2020-01-10,United States,0,0,0,0
7079,2020-01-11,United States,0,0,0,0
7080,2020-01-12,United States,0,0,0,0
7081,2020-01-13,United States,0,0,0,0
7082,2020-01-14,United States,0,0,0,0
7083,2020-01-15,United States,0,0,0,0
7084,2020-01-16,United States,0,0,0,0
7085,2020-01-17,United States,0,0,0,0
7086,2020-01-18,United States,0,0,0,0
7087,2020-01-19,United States,0,0,0,0
7088,2020-01-20,United States,0,0,0,0
7089,2020-01-21,United States,1,0,1,0
7090,2020-01-22,United States,0,0,1,0
7091,2020-01-23,United States,0,0,1,0
7092,2020-01-24,United States,0,0,1,0
7093,2020-01-25,United States,1,0,2,0
7094,2020-01-26,United States,0,0,2,0
7095,2020-01-27,United States,3,0,5,0
7096,2020-01-28,United States,0,0,5,0
7097,2020-01-29,United States,0,0,5,0
7098,2020-01-30,United States,0,0,5,0
7099,2020-01-31,United States,1,0,6,0
7100,2020-02-01,United States,1,0,7,0
7101,2020-02-02,United States,1,0,8,0
7102,2020-02-03,United States,3,0,11,0
7103,2020-02-04,United States,0,0,11,0
7104,2020-02-05,United States,0,0,11,0
7105,2020-02-06,United States,1,0,12,0
7106,2020-02-07,United States,0,0,12,0
7107,2020-02-08,United States,0,0,12,0
7108,2020-02-09,United States,0,0,12,0
7109,2020-02-10,United States,0,0,12,0
7110,2020-02-11,United States,1,0,13,0
7111,2020-02-12,United States,0,0,13,0
7112,2020-02-13,United States,1,0,14,0
7113,2020-02-14,United States,1,0,15,0
7114,2020-02-15,United States,0,0,15,0
7115,2020-02-16,United States,0,0,15,0
7116,2020-02-17,United States,0,0,15,0
7117,2020-02-18,United States,0,0,15,0
7118,2020-02-19,United States,0,0,15,0
7119,2020-02-20,United States,0,0,15,0
7120,2020-02-21,United States,1,0,16,0
7121,2020-02-22,United States,19,0,35,0
7122,2020-02-23,United States,0,0,35,0
7123,2020-02-24,United States,0,0,35,0
7124,2020-02-25,United States,18,0,53,0
7125,2020-02-26,United States,0,0,53,0
7126,2020-02-27,United States,6,0,59,0
7127,2020-02-28,United States,1,0,60,0
7128,2020-02-29,United States,6,0,66,0
7129,2020-03-01,United States,3,1,69,1
7130,2020-03-02,United States,20,1,89,2
7131,2020-03-03,United States,14,4,103,6
7132,2020-03-04,United States,22,3,125,9
7133,2020-03-05,United States,34,2,159,11
7134,2020-03-06,United States,74,1,233,12
7135,2020-03-07,United States,105,2,338,14
7136,2020-03-08,United States,95,3,433,17
7137,2020-03-09,United States,121,4,554,21
7138,2020-03-10,United States,200,5,754,26
7139,2020-03-11,United States,271,2,1025,28
7140,2020-03-12,United States,287,2,1312,30
7141,2020-03-13,United States,351,10,1663,40
7142,2020-03-14,United States,511,7,2174,47
7143,2020-03-15,United States,777,10,2951,57
7144,2020-03-16,United States,823,12,3774,69
7145,2020-03-17,United States,887,16,4661,85
7146,2020-03-18,United States,1766,23,6427,108
7147,2020-03-19,United States,2988,42,9415,150
7148,2020-03-20,United States,4835,0,14250,150
7149,2020-03-21,United States,5374,110,19624,260
7150,2020-03-22,United States,7123,80,26747,340
7151,2020-03-23,United States,8459,131,35206,471
7152,2020-03-24,United States,11236,119,46442,590
7153,2020-03-25,United States,8789,211,55231,801
7154,2020-03-26,United States,13963,249,69194,1050
7155,2020-03-27,United States,16797,246,85991,1296
7156,2020-03-28,United States,18695,411,104686,1707
