,date,location,new_cases,new_deaths,total_cases,total_deaths
7162,2020-03-15,Uruguay,6,0,6,0
7163,2020-03-16,Uruguay,2,0,8,0
7164,2020-03-17,Uruguay,21,0,29,0
7165,2020-03-18,Uruguay,21,0,50,0
7166,2020-03-19,Uruguay,29,0,79,0
7167,2020-03-20,Uruguay,15,0,94,0
7168,2020-03-21,Uruguay,16,0,110,0
7169,2020-03-22,Uruguay,25,0,135,0
7170,2020-03-23,Uruguay,23,0,158,0
7171,2020-03-24,Uruguay,4,0,162,0
7172,2020-03-25,Uruguay,27,0,189,0
7173,2020-03-26,Uruguay,28,0,217,0
7174,2020-03-27,Uruguay,21,0,238,0
7175,2020-03-28,Uruguay,0,0,238,0
