,date,location,new_cases,new_deaths,total_cases,total_deaths
7189,2020-03-07,Vatican,1,0,1,0
7190,2020-03-16,Vatican,0,0,1,0
7191,2020-03-17,Vatican,0,0,1,0
7192,2020-03-18,Vatican,0,0,1,0
7193,2020-03-19,Vatican,0,0,1,0
7194,2020-03-20,Vatican,0,0,1,0
7195,2020-03-21,Vatican,0,0,1,0
7196,2020-03-22,Vatican,0,0,1,0
7197,2020-03-23,Vatican,0,0,1,0
7198,2020-03-24,Vatican,0,0,1,0
7199,2020-03-25,Vatican,0,0,1,0
7200,2020-03-26,Vatican,0,0,1,0
7201,2020-03-27,Vatican,4,0,5,0
7202,2020-03-28,Vatican,0,0,5,0
